Protein;Control_1;Control_2;Control_3;Control_4;HU_1;HU_2;HU_3;HU_4
A5Z2X5;242565.328125;267273.34375;304218.875;312871.8125;293035.53125;328228.625;334776.09375;406773.46875
D6VTK4;390733.125;347006.5;316857.9375;360154.125;228450.828125;187292.625;192185.6875;164395.4375
iRT-Kit_WR_fusion;7807484;9704741;6867528;11284595;4307896;3928142.75;4809886.5;5504041.5
O13297;233161.53125;210387.21875;225355.984375;220826.546875;238357.59375;239230.5625;219937.46875;253859.375
O13516;752825.375;739954.5;600089.25;645650.9375;496421.28125;539860.4375;459677.8125;473517.5625
O13539;80443.6875;96301.5234375;68302.0078125;79005.3359375;91053.4453125;83888.40625;58210.73046875;93393.9296875
O13547;349341.09375;408905.46875;465350.8125;382057;280791.125;241441.96875;282863.75;294733.40625
O13563;267825.40625;311177.15625;243032.703125;436030.5;217288.578125;246828.609375;245212.140625;255297.578125
O13585;83190.9296875;71601.3203125;77054.578125;77177.421875;70187.703125;82191.640625;72737.4765625;72056.234375
O14455;16687140;20071798;15792798;13818810;14544599;12468034;11502146;13063281
O14464;51685.51171875;47318.05859375;72863.515625;26056.076171875;86555.0078125;62068.4140625;49010.17578125;54492.96484375
O14467;4760516.5;4631924;4286171;4383260.5;4218837.5;3892997.75;4451167.5;3869863.75
O14468;61821.21875;74839.5;70317.1484375;62891.484375;60706.46484375;69265.3671875;64523.2265625;71069.5859375
O43137;1653703;2346886.5;1719854.5;2045552;2826470;2867166.25;3114858.5;2525293.75
O60200;29421.2265625;44707.98828125;29477.251953125;31659.384765625;23715.0078125;23732.08203125;25770.181640625;24014.04296875
O74700;649306;648717.9375;532060.1875;572377.625;573447.6875;602843.5;575397.1875;574453.0625
O94742;975754.875;1122988.5;1008479.75;1739272.5;1094450.75;933636.625;685693.25;816091.0625
P00044;110557.4609375;111186.40625;117512.2421875;78564.9296875;82825.625;83801.7890625;63571.58203125;65597.84375
P00045;171599.921875;227689.03125;184451.671875;187049.140625;266359;278580.90625;278264.625;259254.90625
P00127;270674.78125;385071.0625;273089.4375;315686.09375;258177.984375;323436.5625;261945.171875;320010.21875
P00128;488275.3125;583175.0625;539911.875;473264.5625;646798.9375;700999.25;642289.75;554522.5625
P00175;235058.140625;315889.0625;313906.96875;328418.25;386419.375;401910.6875;346206.53125;320148.4375
P00330;88945032;84651112;85641616;83558304;100968400;98881248;97472688;96377456
P00331;0;0;0;0;48728.34765625;36466.76953125;43859.65234375;38299.24609375
P00358;1406273;2304855.5;2141362.25;1808421.5;1618707.75;1509725.875;1471826.625;1994839.5
P00359;178527280;228646992;203448464;203080768;207732464;204973760;203120128;216865680
P00360;7982137;15101067;15086311;13738938;12918317;14029561;12654363;14609185
P00401;65984.8125;78606.5546875;119364.3984375;114698.3671875;167550.671875;208627.421875;247890.25;188135.109375
P00410;60448.2109375;73340.890625;118254.1171875;120983.265625;64805.4453125;91554.875;106254.9609375;96177.625
P00424;0;0;0;0;136075.28125;152633.859375;179203.140625;136381.71875
P00425;146740.90625;135438.28125;205612.859375;176174.859375;204296.203125;249314.34375;278596.75;222809.859375
P00427;348771.625;361098.625;306591.59375;335654.4375;395149.125;412185.375;458709.5;404650.5
P00431;354011.25;525742.8125;431067.90625;449746.75;581357.375;577639.5;543956.25;530859.75
P00445;20328820;28533492;25203416;25375398;35723896;33477628;35862008;34234816
P00447;1824934.625;2241640.5;1949354;2464635.25;3978746.5;4371666;4746330;3685583.25
P00498;366138.53125;316195.8125;449807.71875;346704.0625;461152;428887.34375;485658.75;465816.625
P00546;606806.625;561864.9375;575244.3125;578617.375;538216.3125;548931.0625;564019.25;618894.5625
P00549;42383192;45259284;50746796;45086496;43100904;44860692;46503972;47360772
P00560;83073968;85988128;84793792;81983112;76845296;75274312;74215000;78102128
P00572;137316.1875;84359.2421875;139388.234375;359356.78125;87820.15625;91458.375;94512.4140625;72161.890625
P00635;109197.9609375;79566.3515625;59810.6328125;44609.24609375;0;0;0;0
P00724;71155.6640625;67356.6796875;70104.0390625;86415.515625;102577.421875;105147.1171875;103448.1171875;97780.6015625
P00729;291165.625;357672.375;215026.828125;404037.40625;681969.375;612578.9375;543231.375;508503.4375
P00812;989635.75;906989.8125;959038.5;932103.75;1027864.125;1015626.125;1024438.125;1108091.5
P00815;2138693.5;2190696;2083071;2065610.125;1948041;1876186.625;1812785.5;1792417.5
P00817;11849737;12444552;11830751;11255907;12666862;12473732;12589942;12629443
P00830;6274807.5;6526034;6942022;6687708;6447931.5;6576636.5;6424177;6614567.5
P00856;146242.046875;121274.4765625;153444.375;150658.21875;75050.2265625;79814.578125;94911.84375;94138.2421875
P00890;1645037.125;2065325.125;2335367;2313378.25;3435909.5;3637143.75;4015908.75;3544800.75
P00899;1085226.375;1039312;1026049.3125;1010633.75;1056689.375;1001568.25;946473.6875;972625.125
P00912;110383.8828125;137340.671875;124448.234375;153517.25;94674.3125;94281.296875;99745.0390625;107144.671875
P00924;27152178;35284188;30848260;30484876;32567332;33486672;30023012;31662140
P00925;172166832;203193200;165392080;158712384;176013424;143458752;135342384;153109552
