Protein,L2FC,p,q
A5Z2X5,0.274191291282904,0.0937666537495825,0.167134256184227
D6VTK4,-0.87326966932469,0.000236644184640215,0.00542362888040277
iRT-Kit_WR_fusion,-0.943065998202186,0.0172896624959708,0.0511478353930476
O13297,0.0966596035556656,0.123297776792039,0.203227517134421
O13516,-0.475583812038608,0.00784450684151774,0.0317524668334465
O13539,0.0110606892959477,0.95212261969333,0.962049426869161
O13547,-0.545880506577559,0.00817728971477403,0.0327864854757843
O13563,-0.383164384609259,0.185256287876511,0.27737734679025
O13585,-0.0564167453189922,0.440209868317864,0.542584256298763
O14455,-0.363785632454207,0.0586487307801354,0.118428505888029
O14464,0.349207664902045,0.327075763093946,0.431018255017352
O14467,-0.136363265239946,0.0636360814262323,0.125509805683352
O14468,-0.0231980536981892,0.791804401617959,0.843795328397146
O43137,0.545387316380969,0.00515910006590462,0.0247079286462218
O60200,-0.476304740639897,0.0796508117958563,0.148366586277619
O74700,-0.0465746414293724,0.56532931346566,0.655812938192722
O94742,-0.457326207179152,0.167293842857008,0.255958824975629
P00044,-0.498278500617431,0.031585594870595,0.0759414223297334
P00045,0.489903643433644,0.00429174528086248,0.0224533713071644
P00127,-0.0970330812849041,0.55525744974741,0.647005588987707
P00128,0.287655704697525,0.0276460666084869,0.0695147946152613
P00175,0.285783369041114,0.0613624078306041,0.122089335170758
P00330,0.199745405835157,0.000184852671064806,0.00486404019649116
P00358,-0.216121716141359,0.303120001566461,0.405434954776591
P00359,0.033279815632082,0.682455460828825,0.755316829946892
P00360,0.0626274641780396,0.762086994156701,0.819074488016328
P00401,1.10096048590764,0.00290878176499461,0.0179764620834879
P00410,-0.0561266967176177,0.849857399448428,0.88808265524617
P00425,0.524415314559844,0.0180989704221639,0.0528783011817225
P00427,0.30522872113232,0.00525058098080771,0.0249789210194947
P00431,0.343466797528169,0.0374358502992715,0.0856831337484001
P00445,0.486263610849901,0.00642475378734125,0.0283201001651434
P00447,0.984710479730063,0.00060484074980564,0.00833991798105988
P00498,0.316420981579009,0.0429469431368055,0.0941059632558425
P00546,-0.032968066144895,0.548602218883724,0.640791572470245
P00549,-0.0130283275975687,0.844763380726989,0.884121378409734
P00560,-0.141627318404272,0.000714749853893767,0.00901275652196155
P00572,-1.05826375772017,0.222963099177974,0.319110055869911
P00724,0.471065011590064,0.00402809703957466,0.0217222657523645
P00729,0.887933607089017,0.00307488553249087,0.0184275825551396
P00812,0.14078068083985,0.0139315031502928,0.0447073402893028
P00815,-0.190484334478616,0.00132775704308619,0.0120444590327161
P00817,0.0879706475352889,0.0525172311321375,0.10855481291908
P00830,-0.0201871663007877,0.57097826130305,0.659883564681413
P00856,-0.733002584447062,0.00112106136782597,0.0114053330183162
P00890,0.807879955031008,0.000328626790124385,0.00610617893453813
P00899,-0.065197205299619,0.165557118155833,0.253530358819226
P00912,-0.409275602606445,0.0329060219515185,0.0778905976689119
P00924,0.0455449591003279,0.614637901704124,0.69797514649494
P00925,-0.20235958842545,0.134111030558268,0.21641513589612
P00927,0.0689412863660806,0.217022774521963,0.312719308062234
P00931,0.212990628585598,0.00713324510165312,0.0300571023413756
P00937,0.248987265279181,0.0113447798421038,0.0393874035050319
P00942,-0.106589555460757,0.1346932837661,0.217176871894787
P00950,0.31153753220343,0.00697331446205997,0.029529940893018
P00958,0.420190446970246,5.03766774439472e-05,0.00336831303542481
P01094,0.267869280684875,0.214030107329511,0.309590671241664
P01097,0.128424630462005,0.365243588872952,0.468750001308003
P01098,0.397951245078086,0.0081326281989743,0.0326846858423233
P01119,-0.483320519656914,0.00297860640502898,0.0180991518533599
P01120,-0.166690374216709,0.029279801498058,0.072319246107245
P01123,0.948871443105703,2.37219035800811e-05,0.00261175046062463
P02293,-0.627429321754259,0.00291576080728005,0.0179764620834879
P02294,-0.435273337488641,0.00637442228707189,0.0281536984345675
P02309,-0.881110317197024,0.00601946860220792,0.0270437582764096
P02400,2.24259152089598,3.98747117450738e-05,0.00307397777816569
P02406,1.66093364784251,2.72201490943071e-06,0.00153884576213149
P02557,-0.461127402786402,0.00105917656076425,0.0111040651631733
P02829,0.196755402232298,0.0153682918573977,0.0472185199096856
P02992,-0.148567498357358,0.0759435789715985,0.143277900838034
P02994,0.23295361421812,0.00310026212584745,0.0184817032177057
P03871,-0.365644465583793,0.279257012741292,0.381336468284405
P03872,-0.118613212764668,0.755277488758241,0.813043872379547
P03874,-0.340852226849967,0.0437323789215306,0.0950814138938571
P03965,0.3709694827553,0.0113430557804996,0.0393874035050319
P04037,0.0187916025238123,0.836407543480837,0.879173965753641
P04046,-0.225443109486194,0.0100808548175851,0.0369635441501247
P04050,0.0174531510093998,0.58168828174349,0.669296693240814
P04051,-0.198029623354595,0.0563550593969471,0.114808625510177
P04076,-0.183298715696345,0.0373668564335876,0.0855829689552527
P04147,-0.120289514930794,0.107185746320383,0.183345462187968
P04161,-0.468819420086224,0.0161628289587752,0.0489940266560906
P04449,-0.467230928274223,0.0124475675116771,0.0419873018450897
P04456,0.0568903614410554,0.535861383342217,0.631564215530507
P04650,-0.278387466062858,0.0132561973916261,0.043368138576052
P04786,-0.0929851473856638,0.249645909018189,0.349483666277218
P04801,0.0352969180912783,0.439561259392094,0.541981749130492
P04802,0.196490381935959,0.0315900197250159,0.0759414223297334
P04803,-0.0329430662891146,0.825499571304044,0.871217966976764
P04806,0.0190965538179206,0.841962861174141,0.882279278684796
P04807,0.111463920237226,0.106299015914995,0.182935698621848
P04819,0.132535710777708,0.356743305367686,0.461331792530381
P04821,-0.205399452211011,0.0869003256691599,0.157965478739967
P04840,0.126898426852852,0.0516091507353986,0.107200391484674
P05030,-0.248572678934531,0.00341867200848413,0.0197886270525224
P05150,0.527754802169566,0.0322247594850053,0.0769424828284507
P05317,0.722499592043076,9.99287795065894e-05,0.00397976993359326
P05318,-0.0053676836457483,0.953107891148531,0.962471559028228
P05319,1.22826099596861,3.38564948327975e-05,0.00299252034046402
P05373,0.376054213852696,0.0116430815460651,0.0399362181033666
P05374,0.10013145383634,0.286517314193275,0.388435943142921
P05453,0.0296985962253106,0.396163177792824,0.498806792529049
P05626,0.449747466679597,0.000781777074821091,0.00923967887732801
P05694,0.0874691784187696,0.115489394102994,0.193643116558258
P05737,-0.357839753144072,0.00192461590783952,0.0145092420327643
P05738,-0.335477554524143,0.102438902216546,0.178465719732164
P05739,-0.4288468903571,0.0104960765349213,0.0380777450336397
P05740,-0.292375222240443,0.0134672320195166,0.0437975560979869
P05743,-0.35293448462513,0.0312946692935838,0.0754452865983199
P05744,-0.227385187872948,0.0372375772510455,0.0854296142735538
P05745,-0.565291540009231,0.19633741759292,0.28968095714449
P05747,-2.83486535492814,0.00896394164563392,0.0348289691431732
P05748,0.0848774716577598,0.517570235053474,0.614288377063141
P05749,-0.241079616281248,0.011835353296179,0.0404692725611281
P05750,0.0509718456930654,0.694352174597511,0.765859577806837
P05755,0.228586215735906,0.0506836712417242,0.106120992281686
P05756,-0.0644597891678737,0.241170714644286,0.340570801029733
P05759,-0.43672144309261,0.00151783300328901,0.0124739549083789
P06100,0.104212800536171,0.127095657038739,0.207763117433929
P06101,0.235798783947533,0.0088403256885728,0.0345039378976502
P06102,-0.00461309713605436,0.921885586199131,0.941720305409492
P06103,0.0879127497726633,0.0785230219127053,0.146587831770994
P06104,-0.341093036452008,0.0152840802150595,0.0470450091556097
P06105,-0.176824982558429,0.0325281317415247,0.0773198478397
P06115,0.397232582641094,0.151923777694673,0.237868081678388
P06168,0.366572702823644,0.00736917219934641,0.0306326373776753
P06169,0.311848874058734,0.0204576269577894,0.0572374674440053
P06174,0.0662241460051561,0.173674691440893,0.263581455645418
P06182,-0.420701687647195,0.0343644022121966,0.0806113778034376
P06197,1.13404811938498,0.00207593651597945,0.0151758117719877
P06208,0.159414372372811,0.0773198917818235,0.144980139814232
P06242,-0.0203300268404012,0.894494158667684,0.920865551003057
P06244,0.473108411733118,0.011626247819972,0.0399362181033666
P06245,-0.113710958148847,0.287867350456064,0.389643277233428
P06367,-0.539959755372599,0.00218992869662549,0.0154433225342072
P06634,-0.190340754860348,0.00382811082970272,0.0211137429826855
P06700,0.202661244462971,0.379219859605022,0.481765454599339
P06701,-0.264760872402333,0.19692407932768,0.290293992646454
P06704,-0.877591625236126,0.0325633208814765,0.0773492888165045
P06738,0.423907334219693,0.0472706591249877,0.101062625318993
P06774,-0.848045547049299,0.05300703977432,0.109168111059195
P06775,-0.827704140618451,0.0203859097011034,0.0571479386001181
P06776,0.0686337581184123,0.755572219188788,0.813103098822452
P06780,0.183119772060211,0.00620155348180699,0.0276119030098327
P06781,-0.535990336712871,0.00131808261535784,0.0120444590327161
P06782,0.193424541772634,0.0834139896193746,0.15327207626702
P06785,-0.0751540468170177,0.483024062409635,0.58141150450443
P06786,0.319778178227728,8.08297351397714e-05,0.0036556594879214
P06787,1.57761486446042,3.52891549583022e-05,0.00299252034046402
P06839,0.1268087074023,0.648512147134403,0.728395100357581
P06843,0.131426740587952,0.774943307913849,0.829475449808702
P06844,-0.765266057229595,0.00952739642396413,0.0359156623770677
P07143,-0.166827528963217,0.367227463846283,0.470583890202716
P07149,0.227530502286117,0.0624946166859562,0.123821109695539
P07170,0.139630275274947,0.147816877428665,0.233315424959531
P07172,-0.0636352273966499,0.431350082288148,0.534187469558743
P07213,0.260819418563108,0.00033277784627585,0.00610617893453813
P07244,0.0960843423689395,0.177629059184171,0.268392389320835
P07245,-0.113216752842866,0.00201310821522882,0.0148444849262091
P07246,0.115403386530115,0.0700524721431858,0.135472055592752
P07248,-0.0209854768581393,0.782762710010425,0.835735320225168
P07251,0.307505320628324,0.0041989008154293,0.0222925164080486
P07253,0.0359032596942778,0.835943403353053,0.878958469985603
P07255,-1.04177229258443,0.0424746880315563,0.0934275550082447
P07256,0.130313009776795,0.0681138109469366,0.13255424367872
P07257,0.0982255706872591,0.231409036631588,0.329253125945615
P07258,1.09407498496368,0.00535025557884598,0.0252407050395627
P07259,0.671393863208128,0.000669785129573926,0.00879765181506117
P07260,-0.0662640787184511,0.179650173144211,0.270232100800516
P07262,0.0902643390228057,0.362933396155933,0.467103737878044
P07263,0.144879589668378,0.05048419265796,0.10596682023255
P07264,0.243768207722972,0.0533519292091311,0.109811737789668
P07267,1.05879257307244,0.000178168443491917,0.00479640762162367
P07269,-0.310682344360813,0.019334686420376,0.0550657064130271
P07273,-0.135909489179017,0.219138821031869,0.315099144103476
P07274,0.0248579780272499,0.792472963629016,0.844242554217847
P07275,0.36440471231599,0.0111027472435627,0.0390507162910356
P07276,0.438964963236367,0.0171276168605877,0.0507967305087001
P07277,-0.176767669579221,0.00890981830174566,0.0346583757792675
P07278,-0.0493894225830615,0.250071152681149,0.349934550286492
P07280,-1.26319634857428,0.00666677084744206,0.0289547845256383
P07281,-0.410609425664934,0.00374456014228531,0.020890703951697
P07283,-0.0533578971824598,0.199945240012417,0.293345265623754
P07284,0.186249637621386,0.00559150710332754,0.0258046150945401
P07285,-0.137253376612262,0.0133094535848733,0.0434510746485949
P07342,0.0799257554153691,0.333376376112359,0.437113516727144
P07347,-0.325213838907432,0.107011472929313,0.18323216364272
P07560,0.549573368848754,0.000476670593878554,0.00755545165624324
P07702,0.258428597552644,0.0136926970298208,0.0442905016711447
P07703,-0.0682413733024713,0.281155826344033,0.38346624968193
P07806,0.272433163346355,0.00192287585701224,0.0145092420327643
P07807,-0.117603419057903,0.096996557697472,0.171360585265534
P07884,-1.0925561026673,0.000298906378484882,0.0058606383573452
P07991,0.856655557068201,0.000453885901383783,0.00743758926325504
P08004,0.210943089509628,0.137664660024804,0.220556630750062
P08018,-0.274463525716292,0.0645937264396235,0.127088968771592
P08019,0.675856585231755,0.0321723968123965,0.076905405206236
P08067,1.25890941942032,2.54091288916901e-05,0.00261175046062463
P08417,0.008343382021692,0.815835713055663,0.862737045891324
P08432,-0.653261003657513,0.142332160521067,0.226779547006712
P08456,-0.387722529935324,0.0114046977566032,0.0394742191738757
P08465,0.137792264372554,0.341716483790396,0.445980112742217
P08466,-0.21348288526895,0.032297095471116,0.0770265724091514
P08518,-0.0992654615246484,0.052654973672171,0.108707042419966
P08524,0.245423661319071,0.00275689273157024,0.0175119478379892
P08525,-0.223362167040713,0.438921318259033,0.541588569587626
P08536,0.0523693018325658,0.72642446651747,0.790949753926422
P08539,0.362103129900517,0.00576625842019613,0.0262603455415631
P08566,0.409397777757632,0.0128009787675334,0.0426315705713452
P08678,0.153900857228047,0.247331137124854,0.347102696370502
P08679,0.337272728899739,0.0309689131814743,0.0748728107708914
P08964,-0.809944843792265,0.0014344663196456,0.012224232521952
P09032,-0.00913281890349355,0.859792480482218,0.894782855451355
P09064,-0.0977881018422059,0.255832921972733,0.356379988226493
P09232,0.439950418407998,0.0072543640174549,0.0303921706011277
P09436,0.518832899510296,0.00241794326484186,0.0162566805190633
P09440,0.0685963825648039,0.189758564516572,0.282455196519801
P09457,0.244019862570952,0.00209096503139911,0.0151874804850231
P09547,-0.315778548154422,0.00437178964925272,0.0226053513571116
P09620,0.11238092436509,0.0944628701361056,0.168286793855919
P09624,0.188030585085544,0.000306771181439312,0.0059123173150122
P09733,-0.173477609736333,0.0298038599606413,0.0730833008120198
P09734,-0.389977665116591,0.015283954744964,0.0470450091556097
P09880,-0.0128994237383368,0.889036957131838,0.916042940033778
P09938,2.32381694098756,0.00125434160934262,0.0117835781049601
P09950,-0.286692028916386,0.0106320066607858,0.0383409488413727
P09959,-0.10074476829317,0.433162680812071,0.536013028514622
P0C0V8,-0.0218878624164649,0.933031361992976,0.949832647022862
P0C2H6,-0.120426253222741,0.0727023137707823,0.138933097639715
P0C2H8,-0.514890482610677,0.00813010700963222,0.0326846858423233
P0C2H9,-0.308698062079346,0.655831133611694,0.733744665557616
P0C2I8,-0.837432441822281,0.0808606083170863,0.149961281252901
P0C2I9,0.191344975452462,0.0616050640183788,0.122487911576988
P0C2J1,-0.504834595649616,0.0249921067827896,0.0653106519316043
P0CS90,-0.0737320505472621,0.304706733214049,0.407075714478949
P0CT04,-0.150460297282624,0.126187312756483,0.206477262358896
P10080,-0.195284561597232,0.0463917281951757,0.0996291552501213
P10081,0.0145678076050502,0.885637207842613,0.913928022209353
P10127,-0.265795469979552,0.371305498837014,0.474292498505712
P10174,0.253440348128888,0.132620287961716,0.214929773896865
P10356,-0.541538840444979,0.000765694937210841,0.00921006108872048
P10363,-0.126410989934937,0.480338195592734,0.579000412029336
P10507,-0.127170020425125,0.0144946918997013,0.0457226383009012
P10591,-0.0166016999347851,0.910636813563746,0.93376060205811
P10592,-0.185580955036121,0.105267214462912,0.181436174521442
P10614,-0.0948467191281432,0.0327897662603164,0.0777067835797389
P10622,0.545890183583479,0.0934365564678487,0.166905752888834
P10659,0.280796739616703,0.00496598507108116,0.0242368652677803
P10662,-0.114630981981565,0.049231519854098,0.104100961733486
P10664,0.949405767835863,0.0255670953731751,0.0662517857187241
P10823,-0.131929742509687,0.0502366909341789,0.105577977477531
P10834,0.236140201163566,0.264004423558491,0.364767008028676
P10849,-0.627485109840967,0.0140590410691004,0.0447777157806464
