Protein;Mutant_1;Mutant_2;Mutant_3;Mutant_4;MutantHU_1;MutantHU_2;MutantHU_3;MutantHU_4
A5Z2X5;351271.625;210640.609375;137193;174514.84375;184925.265625;216177.953125;263889.53125;169901.46875
iRT-Kit_WR_fusion;59167804;13856291;21474820;15933096;29819008;29546074;57077320;37397288
O13297;73764.3671875;45518.90625;35088.59765625;44324.5;75694.21875;61991.29296875;50680.4453125;69797.515625
O13516;150903.359375;93664.7421875;72680.5078125;85021.8828125;94798.84375;84576.5859375;80103.5234375;42539.0390625
O13547;720273.1875;350963.375;293221.15625;309011.9375;322475.25;290692.71875;293413.84375;250628.59375
O13563;294343.96875;192892.796875;166526.15625;198809.984375;252720.328125;211846.6875;206780.09375;258276.09375
O13585;0;41058.5546875;33601.859375;44027.03125;43715.734375;38244.65625;30904.615234375;26611.3203125
O14455;9062831;10401736;6173387.5;9244191;7970745;6878086;5642228;7107975
O14467;2140108.5;1127939.875;1114709.25;1009908.0625;1235370.125;1247899;1415119.625;1284330.125
O14468;75315.9609375;0;21017.35546875;15932.82421875;31005.869140625;28864.4296875;40642.46484375;36986.80859375
O43137;1204459.125;394209.5;390341.3125;408143.3125;1372371.5;1063542.5;1645168.25;1483273.375
O74700;1608188.625;786661.6875;816613.6875;766344.5;674559.75;680552.125;650627.3125;668934.3125
O94742;1798515.5;640482.125;539568.25;571412.625;548880.625;376244.6875;529676.25;494503.96875
P00044;581819.0625;433324.4375;322495.46875;396578.5;572238;437277.8125;371340.125;386088.9375
P00045;1006721.75;516124.34375;538573.8125;520536.125;608242.75;634414.5625;641015.8125;548680.75
P00127;154347.203125;274510.1875;222075.0625;264457.03125;236099.359375;178535.359375;176723.359375;186498.53125
P00175;0;33834.109375;36704.25390625;48209.27734375;47595.97265625;42853.07421875;29217.240234375;42981.80078125
P00330;70034824;87399416;88998752;87257040;63964916;70162560;59320248;69751536
P00358;1163379.75;1603071.75;1465157;1569548.375;1351400.75;921210.5625;941720.375;1427804
P00359;179996992;271728064;242493072;276660320;194470816;191610912;163723040;216116768
P00360;1911585.875;2907000.25;2710055.75;3218262.25;3966808.25;3362442.75;3009623;3796269.5
P00427;350442.28125;151105.828125;141181.5;163950.796875;186627.96875;217997.453125;190368.953125;217915.78125
P00431;605454.125;305357.84375;311901.09375;310751.71875;422380.28125;444607.46875;402398;433019.34375
P00445;24734046;13396124;12083364;13423980;18184520;15966560;17440160;17681176
P00447;951389.625;1186796.125;994123.375;1146524.625;1599759.5;1282198.5;1171741.125;1370695
P00498;233578.859375;264868.4375;347902.4375;288047.25;273689.1875;255716.28125;239119.5;309943.6875
P00546;325054.21875;352762.625;331878.6875;338250;325185.5625;349936.625;336807.125;313260.8125
P00549;72417440;86390552;94853824;90596248;69910760;69639848;63417184;78386320
P00560;56729508;74733512;73758584;73888400;62202720;63203680;60978228;67781840
P00572;163246.21875;150202.390625;176787.703125;137954.09375;103133.9296875;140155.78125;109112.71875;170541.46875
P00724;0;30206.962890625;55577.19140625;39297.59375;38387.1640625;0;26190.142578125;66778.8515625
P00729;680896.5;767256.1875;485197.21875;548554.875;753789.6875;614108.9375;637896.3125;601157.875
P00812;1006505.125;1074094.625;1325150;1128463.125;1273233.875;1184138;1162599.25;1390243.375
P00815;1103444.375;1485549;1587262.625;1529916.75;1353052;1179186.875;916086.75;1381090.5
P00817;5766692.5;5661750;5178034.5;5469898.5;6541510.5;6390301.5;6144533;6546916
P00830;2466833.25;2867705.25;3336461.5;2982271;2763952.25;2520311.5;2532497.75;2874694.75
P00890;714980.25;1040660.5625;1196584.875;1022008.9375;1047931;1063760.375;915557.6875;1160906.375
P00899;1026590.25;1330024.625;1309139;1309026.875;1135277.75;1130973.375;905565.5625;1120255.5
P00924;158142336;184389184;182286400;179185008;155463680;156260848;138257344;173476752
P00925;72386944;81347200;70449608;80812280;87802672;65246148;64193596;96195104
P00927;325249.375;372869.71875;369124.46875;390665.53125;334200.1875;307690.625;263820.96875;315412.71875
P00931;2499361.5;2681571.75;2546542;2698503.5;2845252.5;2564007.5;2381012;2391011.75
P00937;708144.1875;896107.875;977220.625;866493;869293.125;764105.75;628222.625;885483.625
P00942;37925228;37149976;38685036;38126340;32207736;29676486;28579342;32911018
P00950;53044628;55604100;50762516;53538756;43409944;45057592;37192360;44227824
P00958;762990.75;867845.25;701557.8125;882724.4375;869759.0625;880406.6875;692876.5625;721616.3125
P01094;127012.0625;89682.59375;44618.515625;94996.5546875;55146.37890625;41750.046875;64170.0546875;55175.08203125
P01097;146502.796875;91002.5625;75833.71875;37030.703125;0;37985.5234375;2921.69189453125;34947.8984375
P01098;370626.1875;155005.140625;157846.90625;154638.46875;107943.0390625;126095.859375;136929.90625;156146.5
P01119;66993.0546875;48739.90234375;43975.796875;52125.62890625;46240.41796875;44647.70703125;31542.845703125;49831.09765625
P01120;375564.90625;277663.75;274032.375;276310.375;367701.5;285896.625;339554.34375;347348.25
P01123;598527.875;794898.125;720421.5625;805230.9375;1286840.125;1036262.3125;1016727.125;971703.25
P02293;78745.5703125;177930.453125;123939.8125;56199.28515625;0;0;0;0
P02294;6272699.5;5362130.5;4671748.5;5070375;5229189;4525649;4499707;4681480.5
P02309;1320753.375;1457843.75;1491129;1415782.375;1100319.25;1282211.125;1017803.125;1192988.875
P02400;1527155.625;522144.9375;554224.25;522678.375;1382720.625;1130334.25;1532227.125;1340373.25
P02406;2934188.75;3586273.5;3300833.5;3662366.5;3764303.5;4338407.5;3551624.5;3611246.5
P02557;2007512.25;2274396.25;1995722;2218876.25;2216911.5;1585134.625;1131958;1793979.5
P02829;12411769;14799212;12105007;14308009;18214694;16779586;14840306;14691480
P02992;608715.8125;667418.5625;555939.75;728429.4375;682057.75;567153.625;454785.5;552740.8125
P02994;44249968;42017372;34573044;42196900;43995220;39468500;36496780;38173868
P03871;131101.171875;104046.703125;116102.8046875;95253.1484375;86100.1328125;82924.5625;56656.2421875;75490.984375
P03872;113382.8515625;88217.2265625;69326.109375;88679.203125;104751.90625;111939.7421875;73284.9609375;108302.53125
P03965;600271.1875;787056.3125;765076.9375;785357.75;850816.5;716417;631777.75;736168.1875
P04037;185596.734375;84269.1875;80567.96875;83922.4375;51368.1484375;57352.21875;79285.78125;76101.015625
P04046;473532.96875;695042.25;694449.625;691668.875;663164.6875;567587.75;391736.21875;645102.625
P04050;612833.4375;639767.5625;702512.0625;624461.75;573899.9375;549027.5;475522.625;570655
P04051;23338.091796875;30169.685546875;26401.34375;26384.837890625;15433.98046875;16974.15625;5147.0751953125;18766.0703125
P04076;958177.625;1239146.875;1349542.625;1291990.875;1155087.125;1011598.5625;1046232;1210925.5
P04147;3649281.75;2339944;2094142.75;2221869.5;2039843.125;1992456.125;2045405.75;2057431.25
P04161;89528.109375;136885.46875;125616.015625;145136.0625;103176.546875;99085.4375;67382.96875;106591.796875
P04449;5077214;5300449.5;4649970;5280208.5;3936994;4054437;3977321;3846802.75
P04456;2141451.5;3635931.75;2461311;3863392.75;3690292;2992407;2329947.5;3327245.25
P04650;1465528.125;2136215.75;1075802;2112781.25;1348073;1806737.625;1411643.25;1393573.625
P04786;8671.1572265625;15913.11328125;7335.0537109375;10655.8681640625;14841.6669921875;10688.95703125;4421.357421875;8875.7275390625
P04801;1620253.625;1774614.375;1529690;1744707.25;1765537.75;1534070.625;1408197.125;1507341.125
P04802;1243382.125;1263051.375;1193037.75;1297008;1413670.875;1345485.875;1191464.875;1204815.375
P04806;563007.5625;673191.75;702791.6875;672014.375;1084900.75;799343.5;872277.125;858102.25
P04807;4352558.5;6040184.5;6160952.5;6385428;7352178;6146784.5;5196133;6895322
P04817;15541.87109375;7285.81103515625;4419.58203125;6906.142578125;4820.0166015625;0;1600.21789550781;4032.91918945312
P04819;72788.4375;76199.921875;51007.390625;75559.9140625;64550.84375;49550.72265625;36086.14453125;40844.734375
P04821;20343.8984375;12975.89453125;7168.86376953125;13011.279296875;10461.203125;12372.3388671875;6615.876953125;9685.4619140625
P04840;2558615.25;3280376.75;2837792.75;3050842.75;2751528.75;2840176.5;2411571.25;2524595
P05030;11272543;10377283;10165328;10415529;7788843.5;6772239.5;6764435.5;7806396.5
P05150;124902.640625;146957.859375;186786.71875;155712.59375;157078.109375;126652.8671875;152870.953125;201453.71875
P05317;4126595.75;5514186.5;4499340.5;5185093.5;6972662.5;6718005;5083257.5;5922465
P05318;2922498.75;1896331.5;1802154.875;1784042.875;1789686.125;1834270.375;1718757.125;1564402.625
P05319;4344993.5;1677754.5;1151453.375;1764796;7504525.5;5360871;7228317.5;5309504
P05373;115021.96875;183373.75;209211.125;199830.9375;218635.59375;174183.03125;184890.4375;243122.390625
P05374;104495.7578125;115729.5234375;103277.1875;123456.703125;129253.8671875;120698.4140625;86946.734375;99392.0390625
P05453;491836.09375;497726.25;460454.15625;465426.0625;486580.71875;452379.71875;381201.21875;419970.6875
P05626;67644.3671875;63407.73046875;56315.4609375;65023.80859375;38953.2421875;43995.07421875;34062.25;37379.19140625
P05694;5897887.5;7523312;7973666;7873898.5;9464781;8700586;8753249;10116574
P05737;11856078;26297304;15008732;22869276;11314050;12701327;8593439;11810920
P05738;1206581;1608503.75;1280269.375;1784425.125;1753719.5;1525570.125;1483150.125;1881589.125
P05739;2254231;2564406.75;2491728;2454429.5;2281991;2353479;2298460;2567302
P05740;7052111.5;7266700;6540153.5;6678036.5;5917442.5;5301086;5487587;5802440.5
P05744;4328262;5205048.5;5267612.5;5881229;5228710.5;5272975;5111778;5798205
P05745;70353.4453125;177803.453125;64816.71875;145030.3125;183633.34375;71791.25;35773.65234375;74275.3984375
P05747;920145.125;811729.6875;759863.375;647298.1875;239047.703125;459061.125;436469.625;471367.8125
P05748;1702721.75;4316612;1946022.25;3959428.75;3044653.25;3081137.75;1943491.75;2313400.75
P05749;430333.34375;536252.5;378351.65625;533309.75;994565.4375;739614.5;633209.875;833065.875
P05750;3613647;4308618;4485873;4825315.5;4506866;4208173;4199231;4708759
P05755;3728235.75;4527974.5;4933777.5;5043905.5;5022719.5;4553709;4466590.5;5274631
P05756;5045373;6639712.5;6402311.5;7178470.5;6143761.5;5943740;5803849.5;5839086
P05759;2137038.25;2231445.25;2098449.5;2199505.75;1567715.375;1652856.375;1682973.5;1747131.5
P06100;60535.18359375;57364.47265625;41031.1484375;49946.24609375;32051.1875;48515.28125;29034.30859375;41379.8125
P06101;997507.9375;450356.875;458210.5;459645.0625;555576.125;555853.5;506874.84375;480760.03125
P06102;161491.703125;73511.140625;67427.4921875;67321.6796875;69179.1953125;73279.0078125;74050.7109375;75489.7421875
P06103;283137.4375;336985.59375;289783.1875;333643.21875;368567.3125;304289.03125;273835.5625;277910.40625
P06104;312002.5;40920.6796875;87648.3046875;74535.9140625;0;84741.2109375;68494.3125;124648.8203125
P06105;1039915.6875;995897.9375;855886.3125;975372.5625;997537;988727.6875;801582.5;838196.875
P06106;5205378;5946540.5;6287052;6292603;8242534;6409771.5;7131920.5;7929567.5
P06115;74395.4921875;89661.859375;96456.6015625;84815.40625;170912.5;172886.09375;143364.6875;198085.28125
P06168;1540474.5;1889375.625;1847766;1930814;2026963.625;2096943.875;1782281;1978713.5
P06169;31063906;43989716;44159728;43418060;41786724;36931908;32016332;41174220
P06174;32219.2109375;49320.21484375;45914.64453125;48028.44921875;32584.50390625;33421.6171875;42193.83984375;42971.359375
P06182;102031.5234375;60465.75;24322.177734375;53098.796875;60891.4453125;47561.296875;21382.482421875;34940.5
P06197;121602.75;76777.859375;0;78640.1328125;116366.171875;114007.5546875;0;119214.0234375
P06208;1456868.75;1810722.625;1719647.625;1889076;1490338;1352798.25;1091816.875;1393001.5
P06245;59644.5625;71337.578125;75824.15625;80895.4453125;85621.328125;87500.6484375;54557.83984375;63610.375
P06367;2002647.75;2992143.5;2258902.5;2962679.75;1705550.75;1674302.25;1308346.875;1604169.875
P06634;489642.0625;450408.625;460475.75;455223.3125;442954.875;445466.90625;399298.375;444022.78125
P06700;0;0;0;0;18513.37890625;20259.150390625;19089.44921875;24069.853515625
P06701;0;22524.41015625;8984.892578125;24208.310546875;11571.783203125;0;6699.91796875;12603.76171875
P06704;181003.0625;65213.98828125;77852.9375;60029.77734375;62761.9296875;67212.3515625;48185.59765625;57523.6875
P06738;74243.296875;103556.09375;108872.78125;103376.7109375;159027.671875;105135.5234375;98322.9765625;124327.6796875
P06776;77165.8125;55607.5390625;51530.90625;47385.26171875;85251.984375;81752.46875;92725.9453125;73719.59375
P06778;34004.54296875;45419.56640625;25269.84765625;34781.0546875;96708.7734375;80949.046875;27842.955078125;72205.5078125
P06780;1030055.5;823408.8125;762582.875;805580.75;748924.5;678330.8125;683358.6875;744208.875
P06781;76374.9375;70224.1953125;52769.703125;58696.58984375;33439.77734375;29156.205078125;34024.35546875;41829.41796875
P06782;90965.6171875;132104.53125;103432.203125;101676.625;113074.03125;114293.2734375;89182.65625;100676.578125
P06785;206108.46875;252350.109375;287855.84375;252031.96875;232081.59375;221298.671875;135381.453125;232683.578125
P06786;147326.296875;136720.140625;136989.515625;137265.25;143260.6875;140299.765625;133298.171875;133712.90625
P06787;2656013.25;1069595.25;1228542.875;1110750;2843664;1924842.125;2916691.5;2903835.75
P06839;0;835849.4375;823173.625;78127.875;588080.875;667038;176613.875;797516.25
P06844;0;15353.0751953125;10041.0859375;12640.990234375;0;0;0;0
P07143;155820.3125;223496.4375;158827.5625;211122.984375;209038.203125;188958.09375;137450.90625;150393.375
P07149;2745424.5;3796599;3895590.25;3958332.75;3685965.75;3221132.75;2603930.5;3188121.5
P07170;2856146.5;1680952.625;1474954.125;1666144;1463530.25;1330631.125;1300947.75;1464318.875
P07172;178356.546875;304637.1875;289561.875;286728.28125;264117.625;257273.078125;169624;221992.21875
P07213;548459.875;567953.625;473766.15625;524723.9375;635335.25;586979;492881.6875;550005
P07244;1202489.125;1514952.125;1561171.375;1599557.5;1896629.75;1599091.75;1323867.25;1511900.75
P07245;1760078.5;2012374.625;2217598.5;2067157.125;2065145.625;1994162.875;2022613.875;2340998
P07246;1180658.25;1154296.375;1138355.375;1129806.625;1212153.125;1236869.125;1229406.5;1232877.25
P07248;98698.109375;54967.83984375;53384.91015625;49764.48046875;74003.34375;70439.6796875;67064.40625;65352.84375
P07251;2186072.75;2507417;2585039.25;2468366.75;2200445.25;2274127.25;2206425;2354772.5
P07253;0;55919.8046875;31190.515625;34935.71875;44364.3828125;46191.30859375;30511.740234375;41446.44921875
P07256;497398.9375;549719.5;615313.75;516158.625;541203.375;483143.375;468594.15625;567915.4375
P07257;832340.5625;819964.4375;775088.6875;801786.625;720122.125;760935.5625;599246.5;721117
P07258;52639.32421875;51292.19921875;47333.734375;62563.40234375;136566.796875;74932.984375;92231.0625;116215.34375
P07259;11331612;14288071;13283818;14636712;15067994;12878026;11886635;12349331
P07260;1482378.875;1105810.5;739964.1875;1015045.125;1024621.875;925762.0625;788395.9375;788433.8125
P07262;4376171;5430871.5;5543259.5;6004985.5;5296248.5;4389755.5;4332320.5;5068816
P07263;684446.75;662910.125;639936.875;676200.25;740757.5;636668.8125;662620.3125;653738.875
P07264;226653.109375;278317;242352.96875;266317.71875;241941.84375;250008.609375;180839.4375;206778.359375
P07267;1330262.125;861442.25;525368.125;820740.0625;1273562.625;1299232.75;1132905.625;1147792.875
P07273;274027.15625;144512.703125;123641.15625;142956.671875;138804.890625;136032.671875;136364.21875;125475.7734375
P07274;1798974.125;996476.5;1081202.375;1025484.9375;1116277.125;1014067.125;871184.125;956350.5625
P07275;168826.796875;190580.125;229486.078125;214017.109375;188073.296875;198296.015625;134857.375;208175.28125
P07277;2296453;2782906.25;3025296.5;2835928.5;2513428.5;2282063.75;1811036.75;2764805.5
P07278;610096.875;492411.375;405157.625;454831.71875;405539.65625;374844.84375;345475.3125;343315.15625
P07280;207972.171875;684064.1875;302697.5625;301335;392558.875;291555.9375;387197.0625;282279.03125
P07281;13175975;10968031;9603700;10444568;7837442;8173521.5;8383542;8214880
