Protein,L2FC,p,q
A5Z2X5,-0.065412594187559,0.858825192129173,0.930055684489864
iRT-Kit_WR_fusion,0.478269332936894,0.423761038732299,0.659113269087116
O13297,0.377719365256526,0.19411299047659,0.474168308016186
O13516,-0.413531417487057,0.279085152725372,0.55129628691071
O13547,-0.532191190054042,0.29351870485002,0.561735123095136
O13563,0.124822869538026,0.56588843085853,0.751809809301834
O13585,-0.182184565988612,0.382776404319905,0.625384269929345
O14455,-0.337871007054775,0.139516268640446,0.413950289016442
O14467,-0.0572894582183443,0.856956209223406,0.929173789721277
O14468,-0.122533246289224,0.887943997015001,0.94740277464217
O43137,1.21489248386507,0.0205604741170791,0.199469760990695
O74700,-0.572611032421586,0.209955369901605,0.489043233930296
O94742,-0.864850052947889,0.280660566716706,0.553046129009333
P00044,0.0269722094133071,0.912339439034184,0.961371770746956
P00045,-0.0861112959438532,0.778723741010832,0.887621701964969
P00127,-0.234881486615382,0.31921097970658,0.581394108383067
P00175,0.0388175136270047,0.86315141480574,0.930726966090752
P00330,-0.342353158070521,0.0203778791731577,0.198837152266192
P00358,-0.321551940625439,0.13651952869758,0.413950289016442
P00359,-0.342094080082598,0.101245470633429,0.370771084237488
P00360,0.395365408905478,0.0557497498570203,0.284992650674289
P00427,0.0110986986033095,0.977249596050269,0.985126257439658
P00431,0.150779339708055,0.609757756004819,0.784533241148446
P00445,0.122403513416615,0.668837861996818,0.82489814550068
P00447,0.34224437993973,0.0439860556203634,0.265073050809728
P00498,-0.0729413547323368,0.644729461823311,0.810140055065832
P00546,-0.0245628422883677,0.58536683492618,0.76919312115368
P00549,-0.291103400272952,0.0406050753809364,0.261094934126607
P00560,-0.13506012595198,0.252349805080083,0.527527666235795
P00572,-0.264545728199011,0.201336870070041,0.481418590729423
P00724,0.0706125515681353,0.890841671980871,0.947665540588049
P00729,0.0709167021544294,0.685977664790832,0.832305729443642
P00812,0.144020244981217,0.218822519600204,0.497624746841297
P00815,-0.240674645871177,0.20234366858101,0.481960832927004
P00817,0.214950765241747,0.0019476599074232,0.106501584937732
P00830,-0.124276595717562,0.289304583701877,0.557745856079098
P00890,0.0756379400571792,0.657620378636335,0.818545411451994
P00899,-0.212958603480721,0.114823134354466,0.389150879071351
P00924,-0.175287610764164,0.0771775505477969,0.334072959048975
P00925,0.039387414453673,0.81785106514172,0.907269797799888
P00927,-0.255690466779873,0.0272830711999524,0.224198981418567
P00931,-0.0342633434229715,0.633486618756799,0.801772122424439
P00937,-0.131720046675691,0.393500661061599,0.634559377020246
P00942,-0.299949208810837,0.0039595265093812,0.127018804883736
P00950,-0.325933155973418,0.00400586982021233,0.127018804883736
P00958,-0.0228219168930243,0.853165237503223,0.926733887780024
P01094,-0.720488025250521,0.128500640540066,0.406271407541917
P01097,-1.79252250313555,0.0656706884146468,0.311030858908741
P01098,-0.669032564196087,0.244229424228114,0.518926544020953
P01119,-0.298331712994397,0.173800276643306,0.456688853966857
