Cluster,ComplexName
40,U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 8;LSM1-7-PAT1 complex|2| 8;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6
22,Small ribosomal subunit processome, variant 1|8|47;Small ribosomal subunit processome, variant 2|8|47;Small ribosomal subunit processome, variant 3|8|47;Box C/D snoRNP complex|3| 4;U4/U6.U5 tri-snRNP complex|1| 1;U4 snRNP|1| 1;U4/U6 snRNP|1| 1
50,MTQ2-TRM112 eRF1 methyltransferase complex|1|2;BUD23-TRM112 methyltransferase complex|1|2;TRM9-TRM112 methyltransferase complex|1|2;TRM11-TRM112 tRNA (m2G10) methyltransferase complex|0|0
78,Elongation Factor eEF1 complex, variant TEF4|3|3;Elongation Factor eEF1 complex, variant CAM1|3|3
45,PAN1 actin cytoskeleton-regulatory complex|1|3;SLAC complex|1|2
77,Eukaryotic translation initiation factor 4F complex, variant TIF4631|3|3;Eukaryotic translation initiation factor 4F complex, variant TIF4632|2|3
188,TOM40 mitochondrial outer membrane translocase holocomplex|2|7;TOM40 mitochondrial outer membrane translocase core complex|1|5
182,cAMP-dependent protein kinase complex variant 4|1|3;cAMP-dependent protein kinase complex variant 5|1|3;cAMP-dependent protein kinase complex variant 6|1|3;cAMP-dependent protein kinase complex variant 1|1|2;cAMP-dependent protein kinase complex variant 2|1|2;cAMP-dependent protein kinase complex variant 3|1|2
97,Mitochondrial respiratory chain complex III|2|10
80,Trehalose-6-phosphate synthase/phosphatase variant 2|1|3
306,Arp2/3 complex|2|7
4,SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0
187,Box H/ACA ribonucleoprotein complex|1|4
18,INO80 chromatin remodeling complex|2|15;NuA4 histone acetyltransferase complex|1|15;Swr1 chromatin remodelling complex|1|14;NuA3 histone acetyltransferase complex|1| 5;Transcription factor TFIIF complex|1| 3;SWI/SNF chromatin remodelling complex|1| 1;General transcription factor complex TFIID|1| 1
16,SDS22-GLC7-YPI1 phosphatase complex|1|3;SDS22-GLC7 phosphatase complex|1|2
38,RNA polymerase I upstream activating factor complex|1|6;Nucleosome, variant HTA2-HTB2|1|4;Nucleosome, variant HTA2-HTB1|1|4;Nucleosome, variant HTA1-HTB1|1|4;Nucleosome, variant HTZ1-HTB1|1|4;Nucleosome, variant HTZ1-HTB2|1|4;Nucleosome, variant HTA1-HTB2|1|4
171,Ribonucleoside-diphosphate reductase variant 2|2|4;Ribonucleoside-diphosphate reductase variant 1|2|3
24,RSC complex variant RSC2|1|16;RSC complex variant RSC1|1|16
