protein1_ID	protein2_ID
P32797	P38960
P32797	Q07921
P38960	Q07921
P22336	P26754
P22336	P26755
P26754	P26755
P32605	P33203
P32605	P39682
P32605	P40018
P32605	P40204
P32605	P43321
P32605	P53207
P32605	P54999
P32605	Q00539
P32605	Q00916
P32605	Q02260
P32605	Q03776
P32605	Q03782
P32605	Q05900
P32605	Q06217
P32605	Q07508
P32605	Q12330
P33203	P39682
P33203	P40018
P33203	P40204
P33203	P43321
P33203	P53207
P33203	P54999
P33203	Q00539
P33203	Q00916
P33203	Q02260
P33203	Q03776
P33203	Q03782
P33203	Q05900
P33203	Q06217
P33203	Q07508
P33203	Q12330
P39682	P40018
P39682	P40204
P39682	P43321
P39682	P53207
P39682	P54999
P39682	Q00539
P39682	Q00916
P39682	Q02260
P39682	Q03776
P39682	Q03782
P39682	Q05900
P39682	Q06217
P39682	Q07508
P39682	Q12330
P40018	P40204
P40018	P43321
P40018	P53207
P40018	P54999
P40018	Q00539
P40018	Q00916
P40018	Q02260
P40018	Q03776
P40018	Q03782
P40018	Q05900
P40018	Q06217
P40018	Q07508
P40018	Q12330
P40204	P43321
P40204	P53207
P40204	P54999
P40204	Q00539
P40204	Q00916
P40204	Q02260
P40204	Q03776
P40204	Q03782
P40204	Q05900
P40204	Q06217
P40204	Q07508
P40204	Q12330
P43321	P53207
P43321	P54999
P43321	Q00539
P43321	Q00916
P43321	Q02260
P43321	Q03776
P43321	Q03782
P43321	Q05900
P43321	Q06217
P43321	Q07508
P43321	Q12330
P53207	P54999
P53207	Q00539
P53207	Q00916
P53207	Q02260
P53207	Q03776
P53207	Q03782
P53207	Q05900
P53207	Q06217
P53207	Q07508
P53207	Q12330
P54999	Q00539
P54999	Q00916
P54999	Q02260
P54999	Q03776
P54999	Q03782
P54999	Q05900
P54999	Q06217
P54999	Q07508
P54999	Q12330
Q00539	Q00916
Q00539	Q02260
Q00539	Q03776
Q00539	Q03782
Q00539	Q05900
Q00539	Q06217
Q00539	Q07508
Q00539	Q12330
Q00916	Q02260
Q00916	Q03776
Q00916	Q03782
Q00916	Q05900
Q00916	Q06217
Q00916	Q07508
Q00916	Q12330
Q02260	Q03776
Q02260	Q03782
Q02260	Q05900
Q02260	Q06217
Q02260	Q07508
Q02260	Q12330
Q03776	Q03782
Q03776	Q05900
Q03776	Q06217
Q03776	Q07508
Q03776	Q12330
Q03782	Q05900
Q03782	Q06217
Q03782	Q07508
Q03782	Q12330
Q05900	Q06217
Q05900	Q07508
Q05900	Q12330
Q06217	Q07508
Q06217	Q12330
Q07508	Q12330
P38203	P40070
P38203	P40089
P38203	P47093
P38203	P49960
P38203	P53905
P38203	P57743
P38203	Q06406
P40070	P40089
P40070	P47093
P40070	P49960
P40070	P53905
P40070	P57743
