Protein;WT_Control_1;WT_Control_2;WT_Control_3;WT_Control_4;WT_HU_1;WT_HU_2;WT_HU_3;WT_HU_4
A5Z2X5;586998.625;283435.15625;439900.84375;7902.19;323902.5625;370269.90625;347447.375;424060.8125
D6VTK4;227596.46875;577881.375;494294.03125;47848.7;439811.1875;215328.390625;273652.8125;453102.875
iRT-Kit_WR_fusion;11567010;18217482;26932936;14165.83;21219156;10822558;9529716;15941432
O13297;203152.3125;220682.34375;231870.953125;61849.77;218405.4375;229504.484375;237400.75;208231
O13539;57521.5078125;34031.34765625;14578.9267578125;30299.25;32981.82421875;35190.046875;44521.921875;17818.203125
O13547;312519.65625;410646.71875;443535.625;23268.09;417031.09375;306018.625;218565.171875;524458.25
O13563;281907.15625;336928.03125;357265.46875;17902.05;374253.96875;314066.3125;250710.28125;262164.96875
O13585;100802.46875;81061.0859375;73709.2890625;102578.58;98706.65625;93963.6484375;91065.53125;99153.609375
O14455;15021285;22660480;18949930;11135.2;23031096;13670539;15557932;19434546
O14464;51083.11328125;54111.43359375;29569.51171875;10697.91;41879.45703125;55708.8828125;66122.953125;51055.26171875
O14467;2699843.25;3927386;3638563.75;16403.62;3765066.5;3348102.25;3128515;3337284.5
O14468;53100.90234375;51242.64453125;38418.0234375;8617.49;60049.18359375;43032.15625;45364.8359375;37276.0703125
O43137;3560888.75;2499635;3128268.75;9404.52;3660470.5;4413892.5;4163168.75;2665425
O60200;14065.3955078125;23414.671875;23910.091796875;9711.96;29374.1015625;21776.771484375;24865.49609375;22220.1796875
O74700;603867.625;784056.25;701379.8125;10201.62;815673.6875;611812.8125;649657.3125;691467.5625
O75012;9112.3994140625;9079.5498046875;15084.1875;10690.55;17287.669921875;4555.76171875;9289.306640625;13439.7470703125
O94742;790015;778438.4375;438040.5;10386.14;1030088.5625;1392736.5;1777881.125;878741.3125
P00044;67685.84375;109430.3515625;58156.64453125;12181.97;108347.109375;99728.6171875;85046.4296875;84893.578125
P00045;311130.40625;206865.78125;217892.453125;12532.3;288493.5625;334762.8125;319168.78125;232914.1875
P00127;398432.09375;186687.6875;265462.40625;17257.12;321631.75;261093.015625;287437.5;253592.734375
P00128;486967.3125;444166.28125;437094;14564.79;553382;588583.375;591168.8125;547380.5625
P00175;88634.0546875;61363.50390625;92758.890625;65539.4;77451.8125;109914.1640625;105577.3828125;90225.5859375
P00330;94192544;107694184;105336064;36849.17;98001664;99974336;104441704;101431848
P00331;276084.125;170932.03125;128711.796875;36731.9;75737.8984375;297630.84375;306557.09375;92285.4765625
P00358;370164480;391040928;422144160;35846.85;488125952;352862432;372988992;429771488
P00359;27267724;21607506;27571638;35746.67;32911750;23527770;29457320;31844854
P00360;17871316;10038091;17170360;35749.93;18911186;15584295;15679868;18723344
P00401;104793.7265625;36090.26171875;69957.28125;58798.1;40317.4765625;121765.3046875;83479.9296875;62829.12109375
P00410;148030.25;113464.1640625;197179.171875;28567.19;144884.921875;151423.125;102129.6875;189276.109375
P00424;13457.0244140625;0;14408.6689453125;17140.49;4686.16259765625;82629.828125;89106.8046875;12840.8701171875
P00425;396987.125;237236.171875;302016.5;17196.73;170913.453125;398569.75;356487;309856.5625
P00427;713104.8125;593099.875;611244.5625;17341.61;624247.5;839354.25;733393.25;498302.125
P00431;636105.375;413033.53125;565194;40352.96;619030.5;670701.8125;687940.4375;491805.65625
P00445;31271626;24036376;29484448;15854.6;31564370;34948784;33871172;29016752
P00447;3808861.25;1752907.75;2878598;25774.21;2461469.25;4791389;4020194.5;2537100.5
P00498;674460.3125;494500.09375;511294.78125;32266.41;494459.3125;662024.625;712307.0625;608975.3125
P00546;849837.5625;870952.625;865097.6875;34061.49;721167.625;814940.875;701407.75;786903.125
P00549;64605212;71593288;70299512;54544.62;69110144;60479552;57427548;75572128
P00560;88708096;116257472;109523848;44738.42;119698648;83666416;89981960;114359152
P00572;134148.828125;161968.4375;146823.421875;24687.37;166463.84375;146581.734375;126730.9765625;159261.078125
P00635;10704.4228515625;27682.662109375;18493.669921875;52858.55;22017.3984375;9321.7763671875;14585.8330078125;10056.0615234375
P00724;129911.984375;99345.015625;100598.6328125;60639.31;89420.015625;161575.15625;104119.8984375;109855.3359375
P00729;1574027.75;450231.5625;430840.28125;59802.12;842565.6875;1646278.375;1959196.125;556415
P00812;733111.5625;782446.3125;706551;35661.93;661981.8125;724241.9375;697718.125;688231.5625
P00815;2359605.5;2916176.25;2802438.25;87721.24;2903064.5;2448553.75;2595391;2899665.5
P00817;10144045;11569825;11998399;32299.58;12383402;10649291;11367132;11281987
P00830;4633740;4731594.5;5273355.5;54793.78;4996316.5;4702130.5;4619100.5;5116638.5
P00856;101402.875;168920.015625;195162.390625;5822.25;157229.21875;113887.8828125;94879.8359375;182792.53125
P00890;4070873.75;2409292.25;3190871;53360.08;2873728.25;4816179.5;4159187;3233349.25
P00899;1020118;1204399.625;1162037.375;56767.56;1176875.375;1045661.3125;1115242.25;1114235.875
P00912;240763.4375;242577.140625;247023.125;24144.49;259251.1875;275731.625;233034.40625;273965.1875
P00924;24979374;25010844;28113712;46816.13;31681288;23354998;25940612;29038704
P00925;161582048;234204784;216974336;46914.17;262817872;156598512;181941200;209298272
