PG.UniprotIds,221125_EC1_nvolkmar_EX140_1.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_2.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_3.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_4.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_5.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_6.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_7.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_8.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_9.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_10.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_11.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_12.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_13.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_14.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_15.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_16.raw.PG.Label-Free Quant
P38915,1.13E+08,9.23E+07,8.40E+07,7.88E+07,8.49E+07,2.38E+07,7.02E+07,8.25E+07,1140002,852979.6,1832459,1090187,1308314,1570644,1459969,4171405
P00360,6.60E+07,4.06E+07,4.00E+07,4.51E+07,4.57E+07,4.58E+07,3.36E+07,5.19E+07,1.35E+08,9.67E+07,1.06E+08,1.10E+08,2.26E+08,1.52E+08,6.63E+07,1.20E+08
P53207,2896136,675861.9,233277.4,1129674,952525.4,895848,929201.8,1264551,222968.7,927614.4,609503.8,485222,343790.6,487948.5,1174464,1262903
Q06505,1.06E+07,1.38E+07,1.34E+07,1.57E+07,1.89E+07,1.04E+07,8926533,1.96E+07,54660.96,295859,279090,175456.8,243906.7,131454.1,132978.2,480652.6
P27692,3.51E+07,3.52E+07,3.10E+07,3.60E+07,3.37E+07,2.45E+07,2.55E+07,2.77E+07,5831632,1.11E+07,8733208,6777076,7274629,6773135,8267362,9416193
P32790,3010283,2349058,3261114,1971664,1900758,1993925,1898412,2564998,4782199,2774638,3276022,1793665,1712967,1645003,2772435,3268608
P25339,1312709,1123254,441995.6,1403984,330519.6,871134.2,222497.1,360903.3,3.35E+07,3.27E+07,4.02E+07,3.04E+07,1.86E+07,1.96E+07,2.23E+07,2.73E+07
P40150,7.78E+07,8.16E+07,7.84E+07,1.14E+08,8.72E+07,7.70E+07,5.82E+07,9.94E+07,1.70E+08,3.20E+08,1.26E+08,2.19E+08,9.56E+07,1.27E+08,1.32E+08,1.44E+08
P33892,3493396,2408234,3133544,4780655,3875743,1624300,2009191,2337447,8216868,1.15E+07,1.00E+07,7338437,1.01E+07,5782720,5924436,5069313
P38351,1.96E+08,1.94E+08,2.38E+08,1.34E+08,1.14E+08,1.02E+08,1.44E+08,2.50E+08,298173.1,418031.2,3414507,328535.5,530605.1,146879,1284953,374990.8
P16862,5168538,4446214,6359538,4507950,7419708,6854634,5179307,8584074,3.18E+07,3.13E+07,3.46E+07,3.80E+07,2.87E+07,1.82E+07,1.41E+07,1.91E+07
P07149,8448866,1.24E+07,6409918,1.05E+07,4286117,6552032,4244561,6691953,2.17E+07,1.94E+07,2.46E+07,2.52E+07,2.06E+07,1.49E+07,1.46E+07,1.72E+07
P47170,9898980,1.12E+07,1.36E+07,8929563,1.54E+07,1.22E+07,2.49E+07,1.24E+07,451941.3,371251,137773.7,1084181,744746.7,193482.9,869046.3,282993.6
P19097,8397891,8112261,6005766,6429537,4411728,3988000,2934342,4921385,2.15E+07,4.41E+07,3.03E+07,2.03E+07,2.42E+07,2.85E+07,1.33E+07,1.61E+07
P10622,5862877,1514366,1274763,2342720,938695.5,757636.9,2413899,3986958,5346922,5675677,8558824,3173295,6153864,7821782,1.04E+07,7468877
P40212,1.24E+08,1.14E+08,2.00E+08,1.79E+08,1.69E+08,1.08E+08,1.21E+08,6.28E+07,5.19E+07,4.14E+07,5.25E+07,3.15E+07,6.22E+07,4.69E+07,2.29E+07,3.71E+07
Q12213,2.11E+08,1.31E+08,1.41E+08,1.59E+08,9.71E+07,1.01E+08,1.19E+08,1.63E+08,4.85E+07,5.66E+07,2.63E+07,4.20E+07,6.78E+07,7.15E+07,6.43E+07,6.57E+07
P36114,120683.9,282863,156274.9,775983.5,231896.4,NaN,NaN,NaN,5955495,5254634,1.20E+07,7866183,8943418,5207558,5759990,5470864
P06168,2065422,2440325,1446680,2888736,2115659,2222578,2126844,3333005,2.02E+07,3.43E+07,2.99E+07,2.86E+07,2.58E+07,2.81E+07,2.40E+07,2.45E+07
P0CX39;P0CX40,1.46E+08,8.19E+07,1.18E+08,1.35E+08,8.74E+07,4.54E+07,9.13E+07,2.03E+08,5.85E+07,7.39E+07,1.06E+08,6.75E+07,4.41E+07,4.61E+07,4.01E+07,3.98E+07
P07347,4720555,6335682,6663226,6064953,5374245,3108574,4274878,9296716,2798042,3961170,3274991,2050532,4407701,2620330,1602551,1717078
Q12433,4.39E+07,6.33E+07,5.13E+07,9.09E+07,8.89E+07,3.17E+07,4.22E+07,7.42E+07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,324286.9
P36775,2.37E+07,1.80E+07,4.73E+07,7.28E+07,3.06E+07,1.69E+07,1.92E+07,2.69E+07,3718724,4154930,7319581,2489958,3422607,2746156,4071335,3496714
P36105,9.23E+07,6.99E+07,4.11E+07,8.54E+07,1.26E+08,4.49E+07,8.93E+07,9.88E+07,3.88E+07,6.51E+07,5.98E+07,5.14E+07,2.97E+07,1.31E+07,2.56E+07,2.19E+07
Q08965,1.76E+07,1.11E+07,1.35E+07,1.68E+07,1.83E+07,1.56E+07,8966068,1.91E+07,NaN,NaN,328899,388256.5,NaN,NaN,NaN,NaN
Q06698,3919986,2885864,1794510,1934284,1838809,1633324,828936.1,3153135,NaN,NaN,1515656,140121.6,447523.2,126532.6,NaN,NaN
P34241,4482909,4390480,4127671,5183416,5894887,3643286,2276089,3372263,113524.9,609945.9,1947102,1071972,473084.9,1200763,367869.9,348544.3
P39002,3716860,5059923,4406248,8996377,2968102,2720209,1398047,3838173,2.20E+07,1.90E+07,1.74E+07,2.36E+07,1.75E+07,9314484,1.15E+07,1.78E+07
Q05942,8707798,4702887,3532779,6931895,8359212,6219079,5016481,3919827,2050026,1917958,2705019,1994179,3116277,2348734,869600,386219.8
P08518,3.44E+07,2.96E+07,2.50E+07,3.72E+07,2.90E+07,2.41E+07,4.06E+07,2.75E+07,1.72E+07,1.60E+07,1.31E+07,9577949,2.12E+07,1.19E+07,1.18E+07,1.31E+07
P53855,127837.7,981435.9,NaN,275688.2,244513.3,202276.1,55380.79,NaN,75672.29,209428.4,1887166,67660.95,NaN,1396835,104015.7,NaN
Q05518,3306711,1940107,2206139,2983668,4595504,4342720,3074444,3899737,2641077,1663907,1454045,2204160,3278945,3459273,4555674,3037967
P23615,2.75E+07,3.14E+07,1.84E+07,1.92E+07,3.15E+07,1.36E+07,1.59E+07,2.82E+07,2841795,2495708,3210780,2741225,676167.1,1245166,974344.6,3044101
P54780,1.16E+08,1.71E+08,2.24E+08,8.82E+07,1.91E+08,5.85E+07,4.74E+07,7.32E+07,5.95E+07,4.99E+07,6.43E+07,5.19E+07,4.42E+07,3.11E+07,4.49E+07,3.79E+07
P00817,9963797,7274814,8014770,7137417,1.03E+07,6057155,7262571,8301655,1.06E+07,9760616,1.10E+07,1.25E+07,2.10E+07,1.10E+07,1.28E+07,1.10E+07
Q04660,1.22E+07,1.55E+07,1.13E+07,1.22E+07,1.42E+07,1.03E+07,1.09E+07,1.86E+07,562955.7,354728.3,NaN,NaN,295033.7,137731.8,587878.2,NaN
P53742,3081110,3406188,3438141,4354847,4210384,2530779,1930929,4359756,4084883,5692964,4953768,3968041,2364202,3200007,2714598,2098910
P40433,1.34E+08,8.95E+07,1.23E+08,1.44E+08,1.30E+08,1.56E+08,1.04E+08,1.90E+08,NaN,NaN,NaN,NaN,NaN,NaN,109362,103791.5
P50086,7249740,9207811,5592624,7297111,6605592,8518574,6371863,7920873,409377.7,982198.6,1379755,NaN,818342.9,1198779,268637.4,523986.4
P53733,367331.4,303073.6,179925,NaN,NaN,117951.6,139512.8,144120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P06778,1759271,1877470,1422384,2069662,4370919,1916699,2322469,3418496,147809.3,NaN,0,213729.3,385712.9,140626.5,NaN,392689.2
P19882,3889689,4900475,5645968,3132921,4532229,3168051,2711451,3925924,5.90E+07,4.16E+07,4.33E+07,2.83E+07,4.77E+07,2.74E+07,3.12E+07,2.86E+07
Q04500,2.22E+07,3.66E+07,3.33E+07,1.68E+07,1.64E+07,2.07E+07,1.22E+07,1.73E+07,2095518,370750.3,2661980,2475736,NaN,492372.1,744737.6,635585.8
P38144,7801054,7618545,9431918,8135718,1.07E+07,5141913,4067878,6583456,952833.9,3205249,768922.3,1917468,1325864,1526536,2452672,NaN
P05750,2.10E+07,3.73E+07,2.82E+07,4.27E+07,1.50E+07,1.50E+07,1.45E+07,5.47E+07,4.12E+07,4.73E+07,6.78E+07,3.88E+07,5.51E+07,3.24E+07,3.76E+07,2.91E+07
P19524,3270237,2773004,2888344,4966236,5645624,3448477,1840079,3900530,3147206,3227554,4906450,2829214,4859256,2846324,1855041,2345505
