Entry,Gene names,Protein names
P10659,SAM1 ETH10 YLR180W L9470.9,S-adenosylmethionine synthase 1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1)
Q02455,MLP1 YKR095W YKR415,Protein MLP1 (Myosin-like protein 1)
Q99316,MPD2 YOL088C O0941,Protein disulfide isomerase MPD2 (EC 5.3.4.1)
P0CD99,MPH2 YDL247W,Alpha-glucosides permease MPH2 (Maltose transport protein 2)
P38994,MSS4 YDR208W YD8142A.05,Probable phosphatidylinositol 4-phosphate 5-kinase MSS4 (EC 2.7.1.68) (1-phosphatidylinositol 4-phosphate kinase) (Diphosphoinositide kinase) (PIP5K)
P0CX80,CUP1-1 MTH1 YHR053C,Copper metallothionein 1-1 (Cu-MT) (Cu-metallothionein) (Copper chelatin) (Copper thionein)
Q03776,PRP42 MUD16 SNU65 YDR235W YD8419.02,U1 small nuclear ribonucleoprotein component PRP42 (U1 snRNP protein PRP42) (65 kDa snRNP protein) (Pre-mRNA-processing factor 42)
P38698,PPX1 YHR201C,Exopolyphosphatase (ExopolyPase) (EC 3.6.1.11) (Metaphosphatase)
P30656,PRE2 DOA3 PRG1 YPR103W P8283.10,Proteasome subunit beta type-5 (EC 3.4.25.1) (Macropain subunit PRE2) (Multicatalytic endopeptidase complex subunit PRE2) (Proteasome component PRE2) (Proteinase YSCE subunit PRE2)
P47116,PTK2 STK2 YJR059W J1725,Serine/threonine-protein kinase PTK2/STK2 (EC 2.7.11.1)
P36002,PTK1 POT1 STK1 YKL198C YKL199C,Serine/threonine-protein kinase PTK1/STK1 (EC 2.7.11.1)
P34222,PTH2 YBL057C YBL0510 YBL0514,Peptidyl-tRNA hydrolase 2 (PTH 2) (EC 3.1.1.29)
P40100,PUG1 YER185W,Protoporphyrin uptake protein 1
P07256,COR1 QCR1 YBL045C YBL0403,"Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome c oxidoreductase core protein 1) (Ubiquinol-cytochrome c reductase 44 kDa protein)"
P00127,QCR6 UCR6 YFR033C,"Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VI) (Cytochrome c1 non-heme 17 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c oxidoreductase subunit 6) (Ubiquinol-cytochrome c reductase 17 kDa protein)"
