Entry	Protein names	Gene names	Length	Region
P61829	ATP synthase subunit 9, mitochondrial (Lipid-binding protein) (Oligomycin resistance protein 1)	OLI1 ATP9 OLI3 PHO2 Q0130	76	
Q07457	E3 ubiquitin-protein ligase BRE1 (EC 2.3.2.27) (Brefeldin A-sensitivity protein 1) (RING-type E3 ubiquitin transferase BRE1)	BRE1 YDL074C	700	REGION 200..250;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q05949	Protein BUR2 (Bypass UAS requirement protein 2) (Chromosome stability protein 4)	BUR2 CST4 YLR226W	395	REGION 1..31;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 372..395;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P32504	Centromere DNA-binding protein complex CBF3 subunit A (Centromere-binding factor 2) (Chromosome transmission fidelity protein 14) (Kinetochore protein CTF14)	CBF2 CBF3A CEP2 CTF14 NDC10 YGR140W	956	REGION 544..564;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 653..672;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 679..715;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 810..837;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40969	Centromere DNA-binding protein complex CBF3 subunit B (Centromere protein 3)	CEP3 CBF3 CBF3B CSL1 YMR168C YM8520.17C	608	
P53941	U3 small nucleolar ribonucleoprotein protein IMP4 (U3 snoRNP protein IMP4) (Interacting with MPP10 protein 4)	IMP4 YNL075W N2353	290	
P46972	Mitochondrial inner membrane protease subunit 2 (EC 3.4.21.-)	IMP2 YMR035W YM9973.09	177	
P28239	Inorganic pyrophosphatase, mitochondrial (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	PPA2 IPP2 YMR267W YM8156.09	310	
P42846	Protein KRI1 (KRR1-interacting protein 1)	KRI1 YNL308C N0388	591	REGION 1..70;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 142..213;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 281..303;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 375..442;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 454..478;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 548..591;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q06147	Sphingoid long chain base kinase 5 (LCB kinase 5) (EC 2.7.1.91) (Sphinganine kinase 5)	LCB5 YLR260W	687	REGION 1..20;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 101..130;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 180..207;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 333..336;  /note="Substrate binding";  /evidence="ECO:0000250"; REGION 506..525;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
