Entry	Gene.names	Protein.names
P10659	SAM1	S-adenosylmethionine synthase 1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1)
Q02455	MLP1	Protein MLP1 (Myosin-like protein 1)
Q99316	MPD2	Protein disulfide isomerase MPD2 (EC 5.3.4.1)
P0CD99	MPH2	Alpha-glucosides permease MPH2 (Maltose transport protein 2)
P38994	MSS4	Probable phosphatidylinositol 4-phosphate 5-kinase MSS4 (EC 2.7.1.68) (1-phosphatidylinositol 4-phosphate kinase) (Diphosphoinositide kinase) (PIP5K)
P0CX80	CUP1-1	Copper metallothionein 1-1 (Cu-MT) (Cu-metallothionein) (Copper chelatin) (Copper thionein)
Q03776	PRP42	U1 small nuclear ribonucleoprotein component PRP42 (U1 snRNP protein PRP42) (65 kDa snRNP protein) (Pre-mRNA-processing factor 42)
P38698	PPX1	Exopolyphosphatase (ExopolyPase) (EC 3.6.1.11) (Metaphosphatase)
P30656	PRE2	Proteasome subunit beta type-5 (EC 3.4.25.1) (Macropain subunit PRE2) (Multicatalytic endopeptidase complex subunit PRE2) (Proteasome component PRE2) (Proteinase YSCE subunit PRE2)
P47116	PTK2	Serine/threonine-protein kinase PTK2/STK2 (EC 2.7.11.1)
P36002	PTK1	Serine/threonine-protein kinase PTK1/STK1 (EC 2.7.11.1)
P34222	PTH2	Peptidyl-tRNA hydrolase 2 (PTH 2) (EC 3.1.1.29)
P40100	PUG1	Protoporphyrin uptake protein 1
P07256	COR1	Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome c oxidoreductase core protein 1) (Ubiquinol-cytochrome c reductase 44 kDa protein)
P00127	QCR6	Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VI) (Cytochrome c1 non-heme 17 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c oxidoreductase subunit 6) (Ubiquinol-cytochrome c reductase 17 kDa protein)
P25635	PWP2	Periodic tryptophan protein 2 (U three protein 1) (U3 small nucleolar RNA-associated protein 1) (U3 snoRNA-associated protein 1)
P07259	URA2	Protein URA2 [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2)]
P01119	RAS1	Ras-like protein 1 (EC 3.6.5.2)
P41056	RPL33B	60S ribosomal protein L33-B (L37) (Large ribosomal subunit protein eL33-B) (RP47) (YL37)
Q12224	RLM1	Transcription factor RLM1
Q07829	RRT7	Regulator of rDNA transcription protein 7
P46784	RPS10B	40S ribosomal protein S10-B (Small ribosomal subunit protein eS10-B)
P32608	RTG2	Retrograde regulation protein 2
P17558	PET123	37S ribosomal protein PET123, mitochondrial (Mitochondrial small ribosomal subunit protein mS26)
P14693	SAM35	Sorting assembly machinery 35 kDa subunit (Mitochondrial 38 kDa outer membrane protein) (TOB complex 38 kDa subunit)
Q12136	SAS10	Something about silencing protein 10 (U three protein 3) (U3 small nucleolar RNA-associated protein 3) (U3 snoRNA-associated protein 11)
P22214	SEC22	Protein transport protein SEC22 (Suppressor of loss of YPT1 protein 2)
P14906	SEC63	Protein translocation protein SEC63 (Protein NPL1) (Sec62/63 complex 73 kDa subunit)
Q04002	SCC2	Sister chromatid cohesion protein 2
Q12369	SFI1	Protein SFI1 (Suppressor of fermentation induced loss of stress resistance protein 1)
Q08817	SOG2	Leucine-rich repeat-containing protein SOG2
P53953	SFB2	SED5-binding protein 2 (SEC24-related protein 2)
P53438	SOK2	Protein SOK2
P40092	SPI1	Uncharacterized cell wall protein SPI1 (Stationary phase-induced protein 1)
P11325	NAM2	Leucine--tRNA ligase, mitochondrial (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)
Q08749	TIM18	Mitochondrial import inner membrane translocase subunit TIM18
P07277	ERG12	Mevalonate kinase (MK) (MvK) (EC 2.7.1.36) (Ergosterol biosynthesis protein 12) (Regulation of autonomous replication protein 1)
P32435	MF(ALPHA)2	Mating factor alpha-2 (Alpha-2 mating pheromone) [Cleaved into: Mating factor alpha; Mating factor alpha-like]
Q07684	MFG1	Morphogenetic regulator of filamentous growth protein 1
P40356	PGD1	Mediator of RNA polymerase II transcription subunit 3 (Hyper-recombination suppressor protein 1) (Mediator complex subunit 3) (Poly-glutamine domain protein 1)
P38335	MTC4	Maintenance of telomere capping protein 4
P0CE92	PAU8	Seripauperin-8
P25580	PBN1	Protein PBN1 (Protease B non-derepressible protein 1)
P50947	PHO23	Transcriptional regulatory protein PHO23
P14242	PMS1	DNA mismatch repair protein PMS1 (Postmeiotic segregation protein 1)
P32598	GLC7	Serine/threonine-protein phosphatase PP1-2 (EC 3.1.3.16)
O13516	RPS9A	40S ribosomal protein S9-A (RP21) (S13) (Small ribosomal subunit protein uS4-A) (YP28) (YS11)
P53236	RSC1	Chromatin structure-remodeling complex subunit RSC1 (RSC complex subunit RSC1) (Remodel the structure of chromatin complex subunit 1)
Q02206	RSC4	Chromatin structure-remodeling complex subunit RSC4 (RSC complex subunit RSC4) (Remodel the structure of chromatin complex subunit 4)
O14464	RTC6	54S ribosomal protein RTC6, mitochondrial (Mitochondrial large ribosomal subunit protein bL36m) (Restriction of telomere capping protein 6) (Translation associated element 4)
P33330	SER1	Phosphoserine aminotransferase (PSAT) (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase)
P50278	SOL1	6-phosphogluconolactonase-like protein 1
P38282	SPP381	Pre-mRNA-splicing factor SPP381 (Suppressor of PRP38-1 mutation)
P53266	SHY1	Cytochrome oxidase assembly protein SHY1 (SURF1 homolog of Yeast) (SURF1-like protein)
Q06091	SNT309	Pre-mRNA-splicing factor SNT309 (PRP19-associated complex protein 25) (Synergistic to PRP19 mutation protein 309)
P23201	SPA2	Protein SPA2
P36136	SHB17	Sedoheptulose 1,7-bisphosphatase (EC 3.1.3.37)
P25567	SRO9	RNA-binding protein SRO9 (Suppressor of RHO3 protein 9)
P39926	SSO2	Protein SSO2
Q04048	SYF1	Pre-mRNA-splicing factor SYF1 (PRP19-associated complex protein 90) (Synthetic lethal with CDC40 protein 1)
P53215	THG1	tRNA(His) guanylyltransferase (EC 2.7.7.79) (tRNA-histidine guanylyltransferase)
Q12308	TFC8	Transcription factor tau 60 kDa subunit (TFIIIC 60 kDa subunit) (Transcription factor C subunit 8)
Q07904	THI73	Thiamine pathway transporter THI73
P35202	THI80	Thiamine pyrophosphokinase (TPK) (Thiamine kinase) (EC 2.7.6.2)
Q12218	TIR4	Cell wall protein TIR4 (TIP1-related protein 4)
P32613	TCA17	TRAPP-associated protein TCA17 (17 kDa TRAPP complex-associated protein)
Q03533	TDA1	Serine/threonine-protein kinase TDA1 (Topoisomerase I damage affected protein 1) (EC 2.7.11.1)
Q06451	TPO3	Polyamine transporter 3
Q04600	TMA64	Translation machinery-associated protein 64
P47168	TTI2	TEL2-interacting protein 2
P53872	YNL190W	Hydrophilin YNL190W
Q12428	PDH1	Probable 2-methylcitrate dehydratase (2-MC dehydratase) (EC 4.2.1.79) ((2S,3S)-2-methylcitrate dehydratase)
P33329	PPZ2	Serine/threonine-protein phosphatase PP-Z2 (EC 3.1.3.16)
P25043	PUP1	Proteasome subunit beta type-2 (EC 3.4.25.1) (Macropain subunit PUP1) (Multicatalytic endopeptidase complex subunit PUP1) (Proteasome component PUP1) (Proteinase YSCE subunit PUP1)
P10363	PRI1	DNA primase small subunit (EC 2.7.7.-) (DNA polymerase alpha:primase complex p48 subunit) (DNA polymerase-primase complex p48 subunit) (Pol alpha-primase complex p48 subunit) (DNA primase 48 kDa subunit)
Q9ZZW2	Q0144	Putative uncharacterized protein Q0144, mitochondrial
Q9ZZW1	Q0182	Putative uncharacterized protein Q0182, mitochondrial
Q03956	RAV2	Regulator of V-ATPase in vacuolar membrane protein 2
Q06109	RRG8	Required for respiratory growth protein 8, mitochondrial
P38766	RRM3	ATP-dependent DNA helicase RRM3 (EC 3.6.4.12) (Regulation of Ty1 transposition protein 104) (rDNA recombination mutation protein 3)
P0CX52	RPS16B	40S ribosomal protein S16-B (RP61R) (Small ribosomal subunit protein uS9-B)
P38165	RTG3	Retrograde regulation protein 3
P46654	RPS0B	40S ribosomal protein S0-B (Nucleic acid-binding protein NAB1B) (Small ribosomal subunit protein uS2-B)
Q03919	RUB1	NEDD8-like protein RUB1 (Related to ubiquitin protein 1) (Ubiquitin-like protein RUB1)
P53305	RSM27	Mitochondrial 37S ribosomal protein S27 (Mitochondrial small ribosomal subunit protein mS33)
P42847	MRPS18	37S ribosomal protein S18, mitochondrial (Mitochondrial small ribosomal subunit protein uS11m) (YmS18)
P38804	RTC3	Restriction of telomere capping protein 3
Q05543	RTT103	Regulator of Ty1 transposition protein 103
P35179	SSS1	Protein transport protein SSS1 (Sec61 complex subunit SSS1) (Sec61 complex subunit gamma) (Ssh1 complex subunit SSS1) (Ssh1 complex subunit gamma)
Q08986	SAM3	S-adenosylmethionine permease SAM3 (S-adenosylmethionine metabolism protein 3)
P53189	SCW11	Probable family 17 glucosidase SCW11 (EC 3.2.1.-) (Soluble cell wall protein 11)
P42223	SBE2	Protein SBE2 (Suppressor of BEM4 protein 2)
Q08230	SDH5	Succinate dehydrogenase assembly factor 2, mitochondrial (SDH assembly factor 2) (SDHAF2)
Q03323	SDC1	COMPASS component SDC1 (Complex proteins associated with SET1 protein SDC1) (Set1C component SDC1) (Suppressor of CDC25 protein 1)
P25365	SED4	Putative guanine nucleotide-exchange factor SED4
Q99287	SEY1	Protein SEY1 (EC 3.6.5.-) (Synthetic enhancer of YOP1 protein)
Q04053	SNX41	Sorting nexin-41
Q02775	SLU7	Pre-mRNA-splicing factor SLU7 (Synthetic lethal with U2 snRNA protein 17) (Synthetic lethal with U5 snRNA protein 7)
Q12306	SMT3	Ubiquitin-like protein SMT3
Q07798	SPO75	Sporulation-specific protein 75
P25554	SGF29	SAGA-associated factor 29 (29 kDa SAGA-associated factor) (SAGA histone acetyltransferase complex 29 kDa subunit)
P40073	SHO1	High osmolarity signaling protein SHO1 (Osmosensor SHO1) (Suppressor of SUA8-1 mutation) (Synthetic high osmolarity-sensitive protein 1)
P33336	SKN1	Beta-glucan synthesis-associated protein SKN1
P38751	SHU1	Suppressor of HU sensitivity involved in recombination protein 1
P42843	SKP2	F-box protein SKP2
Q12020	SRL2	Protein SRL2 (Suppressor of RAD53 null lethality protein 2)
Q05471	SWR1	Helicase SWR1 (EC 3.6.4.12) (Swi2/Snf2-related 1)
P23615	SPT6	Transcription elongation factor SPT6 (Chromatin elongation factor SPT6)
P46675	STU2	Protein STU2 (Suppressor of tubulin 2)
Q12427	STB3	Protein STB3 (SIN3-binding protein 3)
P08459	SPS2	Sporulation-specific protein 2
P15179	MSD1	Aspartate--tRNA ligase, mitochondrial (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)
P18898	CDC43	Geranylgeranyl transferase type-1 subunit beta (GGTase-I-beta) (EC 2.5.1.59) (Cell division cycle protein 43) (Geranylgeranyl transferase type I subunit beta) (RAS proteins geranylgeranyltransferase subunit beta) (Type I protein geranyl-geranyltransferase subunit beta) (PGGTase I beta)
P32522	PET309	Pentatricopeptide repeat-containing protein PET309, mitochondrial
P27616	ADE1	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)
P32863	RAD54	DNA repair and recombination protein RAD54 (EC 3.6.4.12)
Q04779	RCO1	Transcriptional regulatory protein RCO1
A0A0B7P221	RDT1	Uncharacterized protein RDT1 (Ribosomally detected transcript 1)
Q04418	RBA50	RNA polymerase II-associated protein RBA50 (RNA polymerase II-associated protein of 50 kDa)
P40395	RIC1	Guanine nucleotide exchange factor subunit RIC1 (Protein RIC1) (Ribosome control protein 1) (Ric1p)
P32862	RGT1	Glucose transport transcription regulator RGT1 (Restores glucose transport protein 1)
Q08003	RFU1	Regulator of free ubiquitin chains 1
P48743	RFX1	RFX-like DNA-binding protein RFX1
P0CX86	RPL41A	60S ribosomal protein L41-A (L47) (Large ribosomal subunit protein eL41-A) (YL41)
P17890	RPC31	DNA-directed RNA polymerase III subunit RPC7 (RNA polymerase III subunit C7) (DNA-directed RNA polymerase III 31 kDa polypeptide) (C31)
