"Protein","number_of_AA_covered"
"O13297",68
"O13547",63
"O13563",14
"O14455",10
"O14467",130
"O14468",19
"O43137",78
"O74700",53
"O94742",19
"P00044",11
"P00127",13
"P00330",331
"P00358",128
"P00359",192
"P00360",244
"P00427",83
"P00431",37
"P00445",154
"P00447",27
"P00549",497
"P00560",416
"P00572",53
"P00635",51
"P00729",97
"P00812",186
"P00815",570
"P00817",277
"P00830",226
"P00890",77
"P00899",165
"P00912",88
"P00924",263
"P00925",324
"P00931",222
"P00937",108
"P00942",248
"P00950",247
"P00958",79
"P01094",45
"P01097",9
"P01098",44
"P01119",95
"P01120",232
"P01123",100
"P02293",13
"P02294",26
"P02309",16
"P02400",96
"P02406",56
"P02557",217
"P02829",128
"P02992",149
"P02994",405
"P03962",140
"P04037",17
"P04050",53
"P04076",77
"P04147",483
"P04161",166
"P04173",91
"P04456",88
"P04801",176
"P04802",188
"P04806",423
"P04807",410
"P04840",38
"P05030",115
"P05317",200
"P05318",67
"P05319",87
"P05453",123
"P05694",363
"P05737",34
"P05739",15
"P05749",75
"P05750",94
"P05755",15
"P05759",53
"P06101",213
"P06102",85
"P06103",8
"P06104",118
"P06105",414
"P06106",177
"P06168",347
"P06169",448
"P06174",84
"P06208",83
"P06367",9
"P06634",117
"P06738",103
"P06774",18
"P06778",26
"P06780",122
"P06785",55
"P06786",29
"P06787",111
"P06843",45
"P07170",219
"P07172",62
"P07213",97
"P07244",270
"P07245",238
"P07246",105
"P07251",311
"P07256",78
"P07257",84
"P07259",56
"P07260",90
"P07262",8
"P07263",41
"P07264",96
"P07267",335
"P07269",63
"P07270",30
"P07273",89
"P07274",126
"P07278",146
"P07281",25
"P07283",226
"P07284",364
"P07560",60
"P07703",61
"P07806",389
"P07807",42
"P07991",359
"P08018",37
"P08417",184
"P08518",26
"P08524",199
"P08678",37
"P09064",122
"P09232",301
"P09436",466
"P09457",55
"P09733",154
"P09734",19
"P09938",139
"P0C0V8",23
"P0C0X0",12
"P0CS90",586
"P0CT04",75
"P10080",237
"P10081",345
"P10356",17
"P10591",216
"P10592",178
"P10622",89
"P10659",246
"P10664",16
"P10863",86
"P10961",62
"P10964",13
"P11075",39
"P11076",30
"P11353",83
"P11412",206
"P11484",106
"P11491",43
"P11632",62
"P11633",28
"P11655",18
"P11745",34
"P11792",53
"P11938",149
"P11978",24
"P12385",35
"P12612",42
"P12695",50
"P12709",520
"P12868",12
"P12945",17
"P12962",69
"P13185",77
"P13186",26
"P13188",184
"P13298",87
"P13382",20
"P13517",53
"P13574",67
"P13663",192
"P13856",24
"P14065",145
"P14126",17
"P14164",44
"P14306",166
"P14540",356
"P14742",62
"P14747",30
"P14832",162
"P14843",177
"P14904",14
"P14907",392
"P14922",157
"P15019",260
"P15108",213
"P15180",202
"P15274",97
"P15303",95
"P15454",181
"P15496",182
"P15624",56
"P15625",72
"P15646",64
"P15700",170
"P15703",280
"P15705",501
"P15731",62
"P15873",51
"P15891",554
"P15992",181
"P16120",477
"P16140",385
"P16387",94
"P16474",320
"P16521",408
"P16547",14
"P16550",260
"P16649",335
"P16861",230
"P16862",285
"P16965",72
"P17065",32
"P17076",22
"P17106",181
"P17255",731
"P17423",255
"P17505",253
"P17536",191
"P17555",168
"P17629",15
"P17649",190
"P17695",109
"P17709",262
"P17891",191
"P17967",488
"P18239",39
"P18494",30
"P18562",177
"P18852",18
"P18899",272
"P19097",100
"P19211",85
"P19262",29
"P19358",184
"P19414",704
"P19524",11
"P19659",33
"P19880",142
"P19881",135
"P19882",383
"P20051",198
"P20081",114
"P20433",28
"P20435",120
"P20436",141
"P20448",21
"P20449",116
"P20459",53
"P20486",83
"P20604",10
"P20606",24
"P20676",179
"P20840",229
"P21182",48
"P21242",43
"P21304",63
"P21524",79
"P21538",202
"P21576",66
"P21657",77
"P21672",66
"P21734",192
"P21827",24
"P21954",150
"P21965",24
"P22137",23
"P22141",17
"P22146",144
"P22147",305
"P22202",123
"P22203",198
"P22211",54
"P22217",96
"P22336",141
"P22515",499
"P22579",60
"P22696",164
"P22768",58
"P22803",97
"P22943",108
"P23201",262
"P23202",14
"P23248",32
"P23254",559
"P23285",150
"P23287",10
"P23301",144
"P23542",352
"P23594",19
"P23595",19
"P23615",23
"P23638",44
"P23639",22
"P23644",26
"P24031",67
"P24276",77
"P24279",65
"P24280",85
"P24521",112
"P24583",29
"P25040",66
"P25044",22
"P25087",66
"P25293",134
"P25294",328
"P25296",19
"P25297",15
"P25299",109
"P25303",30
"P25332",22
"P25339",64
"P25343",32
"P25344",14
"P25349",53
"P25372",31
"P25373",110
"P25385",24
"P25386",18
"P25441",23
"P25443",68
"P25491",223
"P25555",62
"P25558",60
"P25566",79
"P25567",154
"P25572",11
"P25586",28
"P25588",22
"P25617",27
"P25623",97
"P25628",16
"P25631",183
"P25638",64
"P25644",79
"P25694",336
"P25719",157
"P26321",84
"P26637",243
"P26754",156
"P26755",42
"P26783",100
"P26784",16
"P26785",34
"P26786",100
"P27476",162
"P27614",34
"P27616",285
"P27637",55
"P27692",132
"P27705",42
"P27999",51
"P28000",83
"P28007",9
"P28241",186
"P28272",190
"P28273",27
"P28319",72
"P28320",13
"P28495",38
"P28496",15
"P28707",216
"P28777",299
"P28834",211
"P29029",143
"P29055",52
"P29295",18
"P29311",154
"P29366",35
"P29453",22
"P29478",53
"P29509",273
"P29547",109
"P29952",403
"P30822",12
"P30902",34
"P31109",27
"P31116",317
"P31373",294
"P31377",16
"P31412",138
"P31539",404
"P31787",87
"P32047",89
"P32074",41
"P32178",95
"P32179",220
"P32263",76
"P32264",19
"P32288",19
"P32324",722
"P32342",12
"P32347",41
"P32353",26
"P32356",27
"P32377",225
"P32380",42
"P32381",18
"P32419",45
"P32432",22
"P32445",66
"P32447",35
"P32449",301
"P32453",18
"P32454",361
"P32457",92
"P32458",26
"P32463",91
"P32468",23
"P32469",152
"P32471",156
"P32472",133
"P32473",91
"P32477",63
"P32478",79
"P32481",95
"P32491",30
"P32495",67
"P32496",212
"P32497",121
"P32499",273
"P32505",291
"P32521",299
"P32525",72
"P32527",283
"P32529",78
"P32558",45
"P32563",11
"P32565",47
"P32566",80
"P32568",55
"P32578",66
"P32582",398
"P32583",30
"P32588",285
"P32589",528
"P32590",88
"P32597",57
"P32599",213
"P32600",23
"P32602",102
"P32610",83
"P32614",451
"P32623",16
"P32626",126
"P32628",367
"P32629",11
"P32643",94
"P32656",19
"P32657",16
"P32660",47
"P32769",35
"P32771",332
"P32773",75
"P32776",20
"P32783",17
"P32790",509
"P32793",46
"P32795",87
"P32798",28
"P32831",105
"P32832",56
"P32835",81
"P32836",66
"P32860",42
"P32861",34
"P32873",42
"P32892",42
"P32900",30
"P32905",16
"P32909",53
"P32911",96
"P32914",57
"P32939",107
"P33201",22
"P33297",184
"P33298",10
"P33299",121
"P33302",108
"P33313",95
"P33317",134
"P33322",49
"P33330",280
"P33331",125
"P33338",19
"P33399",135
"P33401",263
"P33416",43
"P33417",81
"P33442",12
"P33734",249
"P33748",166
"P33775",35
"P33892",17
"P34078",99
"P34163",30
"P34167",330
"P34216",600
"P34217",288
"P34221",99
"P34223",341
"P34227",24
"P34250",70
"P34730",144
"P34760",189
"P34761",26
"P34909",35
"P35127",115
"P35176",207
"P35179",19
"P35180",14
"P35183",25
"P35189",76
"P35195",33
"P35197",169
"P35691",167
"P35719",175
"P35725",15
"P35728",64
"P35732",652
"P35734",67
"P35817",107
"P35844",93
"P36006",69
"P36008",113
"P36010",92
"P36015",30
"P36016",42
"P36017",30
"P36018",60
"P36024",85
"P36036",40
"P36041",322
"P36046",61
"P36047",38
"P36049",68
"P36053",47
"P36060",133
"P36062",81
"P36069",91
"P36076",17
"P36077",8
"P36078",39
"P36080",55
"P36088",67
"P36095",26
"P36100",20
"P36103",13
"P36108",55
"P36110",11
"P36116",24
"P36119",56
"P36124",26
"P36126",61
"P36135",234
"P36136",123
"P36141",76
"P36145",93
"P36151",14
"P36152",58
"P36154",105
"P36156",18
"P36166",12
"P36169",12
"P36421",128
"P36775",48
"P37012",422
"P37262",114
"P37263",86
"P37291",390
"P37292",41
"P37302",345
"P37304",47
"P37370",247
"P37898",172
"P38009",373
"P38011",319
"P38013",176
"P38041",13
"P38061",17
"P38066",72
"P38071",70
"P38075",196
"P38080",129
"P38081",96
"P38088",353
"P38109",33
"P38115",183
"P38121",30
"P38137",75
"P38143",114
"P38145",93
"P38162",13
"P38165",40
"P38167",52
"P38174",32
"P38197",205
"P38199",39
"P38202",15
"P38205",141
"P38216",37
"P38219",211
"P38230",41
"P38235",141
"P38237",13
"P38248",166
"P38249",215
"P38250",105
"P38264",38
"P38266",312
"P38272",55
"P38281",138
"P38288",296
"P38314",60
"P38345",13
"P38351",52
"P38426",79
"P38427",119
"P38428",40
"P38431",222
"P38439",129
"P38523",106
"P38555",38
"P38616",210
"P38625",423
"P38628",90
"P38630",11
"P38634",74
"P38636",63
"P38682",271
"P38689",44
"P38691",43
"P38692",63
"P38698",175
"P38701",57
"P38707",178
"P38708",221
"P38715",147
"P38720",298
"P38736",8
"P38747",29
"P38749",31
"P38753",17
"P38755",25
"P38758",14
"P38759",16
"P38764",96
"P38765",106
"P38771",21
"P38773",81
"P38777",128
"P38779",28
"P38787",99
"P38788",366
"P38791",150
"P38801",26
"P38804",100
"P38806",14
"P38809",74
"P38817",243
"P38822",121
"P38828",24
"P38829",20
"P38841",71
"P38845",328
"P38853",173
"P38854",34
"P38858",244
"P38879",172
"P38886",246
"P38891",128
"P38903",14
"P38910",89
"P38911",136
"P38912",105
"P38922",56
"P38934",395
"P38968",643
"P38970",14
"P38972",1025
"P38986",34
"P38993",37
"P38994",15
"P38996",133
"P38998",26
"P38999",137
"P39001",83
"P39005",128
"P39013",54
"P39015",233
"P39076",45
"P39077",29
"P39078",50
"P39079",64
"P39101",107
"P39111",108
"P39516",10
"P39517",51
"P39522",21
"P39523",59
"P39676",265
"P39683",158
"P39705",230
"P39714",142
"P39715",86
"P39721",123
"P39726",121
"P39730",95
"P39743",202
"P39926",122
"P39927",68
"P39929",60
"P39931",62
"P39935",350
"P39936",115
"P39938",16
"P39940",195
"P39954",305
"P39958",91
"P39966",147
"P39969",18
"P39976",215
"P39979",30
"P39990",112
"P40005",58
"P40007",112
"P40010",10
"P40016",40
"P40019",106
"P40022",96
"P40024",17
"P40029",157
"P40037",129
"P40040",192
"P40043",41
"P40046",21
"P40052",56
"P40055",14
"P40056",40
"P40060",13
"P40069",53
"P40075",213
"P40078",31
"P40081",158
"P40087",117
"P40089",79
"P40093",74
"P40096",92
"P40106",221
"P40150",107
"P40154",88
"P40159",175
"P40185",141
"P40202",242
"P40212",30
"P40217",115
"P40317",43
"P40327",54
"P40341",35
"P40343",86
"P40347",151
"P40357",222
"P40364",8
"P40413",87
"P40414",135
"P40422",41
"P40457",39
"P40463",62
"P40467",37
"P40472",117
"P40477",97
"P40495",47
"P40505",33
"P40510",175
"P40517",117
"P40518",132
"P40529",70
"P40531",149
"P40535",128
"P40537",15
"P40553",64
"P40554",92
"P40555",48
"P40561",27
"P40563",316
"P40564",34
"P40580",13
"P40581",154
"P40825",554
"P40893",189
"P40956",32
"P40991",109
"P41057",9
"P41058",17
"P41277",229
"P41338",337
"P41734",74
"P41805",76
"P41807",83
"P41810",13
"P41811",53
"P41813",42
"P41818",197
"P41895",109
"P41920",170
"P41921",323
"P41940",350
"P42826",102
"P42844",51
"P42845",55
"P42846",89
"P42937",51
"P42940",51
"P42941",252
"P42942",126
"P42943",50
"P43123",292
"P43321",10
"P43535",12
"P43558",14
"P43573",37
"P43577",61
"P43582",135
"P43585",12
"P43586",73
"P43587",53
"P43588",58
"P43590",106
"P43593",216
"P43594",12
"P43597",176
"P43598",89
"P43603",116
"P43609",28
"P43616",393
"P43621",185
"P43638",61
"P45978",152
"P46151",11
"P46654",16
"P46655",229
"P46672",277
"P46675",44
"P46676",67
"P46678",14
"P46680",448
"P46682",16
"P46683",146
"P46947",30
"P46949",13
"P46969",176
"P46984",69
"P46988",35
"P47001",89
"P47006",119
"P47018",58
"P47032",84
"P47035",369
"P47044",84
"P47047",79
"P47048",21
"P47068",519
"P47076",25
"P47079",47
"P47082",20
"P47089",110
"P47096",146
"P47104",21
"P47116",65
"P47117",28
"P47118",41
"P47119",167
"P47120",288
"P47129",64
"P47135",50
"P47143",335
"P47160",203
"P47166",40
"P47173",66
"P47176",330
"P47822",18
"P47912",132
"P48015",95
"P48164",68
"P48234",22
"P48415",443
"P48510",329
"P48570",18
"P48582",32
"P48589",133
"P48606",100
"P48836",90
"P49089",228
"P49090",259
"P49166",12
"P49167",44
"P49334",30
"P49435",48
"P49573",25
"P49626",15
"P49687",33
"P49723",299
"P49954",166
"P50086",213
"P50095",49
"P50105",57
"P50106",30
"P50107",152
"P50109",85
"P50278",68
"P50623",136
"P50861",53
"P52286",153
"P52490",127
"P52553",100
"P52910",24
"P52917",38
"P53009",12
"P53044",38
"P53064",48
"P53066",180
"P53075",9
"P53081",153
"P53082",73
"P53090",321
"P53093",42
"P53111",212
"P53121",42
"P53141",149
"P53152",113
"P53163",158
"P53165",21
"P53183",66
"P53184",178
"P53189",47
"P53191",141
"P53193",16
"P53200",79
"P53207",38
"P53210",61
"P53235",87
"P53250",81
"P53252",148
"P53261",14
"P53274",104
"P53277",23
"P53278",451
"P53281",111
"P53297",103
"P53299",37
"P53301",124
"P53303",104
"P53330",16
"P53332",52
"P53334",236
"P53438",183
"P53549",82
"P53550",305
"P53551",56
"P53598",54
"P53599",11
"P53616",37
"P53622",101
"P53629",11
"P53632",25
"P53691",262
"P53733",9
"P53738",108
"P53741",175
"P53743",29
"P53769",44
"P53832",11
"P53834",153
"P53839",134
"P53843",53
"P53844",9
"P53849",153
"P53852",84
"P53854",40
"P53858",91
"P53859",26
"P53860",31
"P53874",27
"P53879",68
"P53883",44
"P53885",206
"P53889",23
"P53890",24
"P53897",92
"P53900",87
"P53905",57
"P53909",128
"P53912",262
"P53914",15
"P53920",29
"P53927",17
"P53929",69
"P53946",18
"P53950",14
"P53968",53
"P53981",226
"P54000",105
"P54113",255
"P54115",447
"P54730",76
"P54837",17
"P54838",204
"P54839",339
"P54858",29
"P54861",52
"P54867",65
"P54885",369
"P54964",35
"P57743",10
"P57744",33
"P60010",370
"P61830",8
"P69771",58
"P69850",26
"P80210",221
"P80967",16
"P87108",65
"P89105",38
"P89886",51
"Q00055",239
"Q00402",34
"Q00416",8
"Q00684",14
"Q00772",22
"Q00816",123
"Q00955",93
"Q01080",50
"Q01448",28
"Q01477",39
"Q01560",277
"Q01662",143
"Q01855",30
"Q01939",22
"Q01976",198
"Q02046",101
"Q02100",78
"Q02201",9
"Q02204",18
"Q02326",19
"Q02455",162
