Protein;MW;100K1;100K2;100K3;100K4;50K1;50K2;50K3;50K4;30K1;30K2;30K3;30K4;10K1;10K2;10K3;10K4
A5Z2X5;7902.19;0;0;0;0;0;0;0;0;0;0;0;0;169908.015625;141916.359375;65517.64453125;78796.359375
O13297;61849.77;18909.39453125;20039.83203125;23371.4453125;16271.23046875;44311.58203125;38671.4921875;36181.390625;43857.34765625;83820.6640625;163337.65625;182579.828125;143368.875;220566.828125;224329.625;271137.28125;238958.59375
O13516;22442.79;790781.75;544187.8125;406946.75;144501.671875;10199.7373046875;11087.7099609375;10534.982421875;16350.3125;6215.68017578125;19920.751953125;29143.279296875;21871.880859375;270077.40625;218455.765625;168622.0625;167193.859375
O13539;30299.25;24190.94140625;18624.6171875;21054.59375;28284.4921875;37331.3515625;34742.76953125;33491.80078125;38234.00390625;0;0;0;0;0;0;0;0
O13547;23268.09;383424.5625;414054.90625;382531.6875;358128.21875;2709442.25;2291699.5;2464371.25;2823482.75;631046.875;1213600.25;1833692.75;1780101.625;271675.71875;322135.0625;394156.34375;393889.25
O13563;17902.05;60120.8984375;82568.09375;80281.46875;83776.703125;115277.1328125;92415.8125;100031.8828125;108867.6953125;345924.34375;210683.6875;281563.5625;296009.28125;90582.8203125;87052.2890625;81057.7890625;82162.015625
O13577;15164.96;0;0;0;0;0;0;0;0;0;14567.9033203125;7460.4228515625;11600.568359375;27441.55078125;44040.515625;47298.37109375;45685.53515625
O13585;102578.58;0;0;0;0;0;0;0;0;20554.646484375;48441.68359375;54330.4453125;50581.28515625;72866.375;74242.4609375;58869.984375;49966.625
O14455;11135.2;12581519;9828860;7130754;6320501;51134.3046875;41744.66015625;31515.5703125;29240.041015625;75606.859375;101811.4375;98251.0234375;84208.140625;293327.25;290861.75;208135.09375;180184.96875
O14467;16403.62;2994738.75;2728969;2674282.5;2795639.5;6309451;6421581.5;5808093.5;7862978.5;17719964;28366888;29701018;27231598;64546476;64020036;65398024;62627176
O14468;8617.49;11974.4296875;13044.154296875;11134.5498046875;14573.3681640625;17574.58984375;20789.732421875;21133.6875;27431.421875;123278.1015625;92901.328125;91475.9140625;76929.84375;184862.484375;191183.78125;182767.984375;171244.21875
O43137;9404.52;165348.859375;200316.65625;280605.625;158444.15625;288327.625;267328.46875;226606.5625;499891.75;2281781.25;1622044.125;1134207.875;1430106.75;5896683;5083613;4797361.5;5600668.5
O60200;9711.96;0;0;0;0;0;0;0;0;10660.7001953125;7656.70361328125;11909.7958984375;22042.50390625;98997.5703125;82360.078125;91503.3203125;91316.1953125
O74700;10201.62;296095.53125;246835.6875;207965.3125;234292.796875;497312.84375;418784.5;379287.84375;648360.3125;1444981.5;1546703.125;1452023.5;1677388.75;1631557.125;2011344.625;2169462;1961545.625
O94742;10386.14;606169;582286.5625;476077.21875;434220.3125;959218.6875;880937.1875;785636.4375;1137097.75;807657.875;3434601.25;2876575.75;2987148;7874545.5;8167652;8243371.5;8186116.5
P00044;12181.97;24917.23828125;19197.978515625;25021.28515625;16797.427734375;20898.58203125;18584.611328125;17033.869140625;27269.21484375;154215.328125;104027.5390625;70429.453125;74629.578125;202278.515625;209603.421875;217211.578125;234240.171875
P00045;12532.3;0;0;0;0;0;0;0;0;0;0;0;0;58377.359375;52012.3046875;41900.796875;37979.30078125
P00127;17257.12;9052.3662109375;8617.4453125;11549.005859375;10511.6455078125;58619.70703125;52151.41015625;56296.33984375;64729.171875;103462.8671875;70099.1328125;94924.4609375;89458.859375;18465.322265625;25293.2578125;39765.62890625;25985.333984375
P00330;36849.17;5131244;7192297.5;7078944.5;8625071;8702063;11523012;13449685;5508723;124932384;16695025;18845734;30260772;5897425;6121775;4260905.5;5579977
P00358;35846.85;347786.09375;222661.890625;240167.671875;335529;120426.203125;221344.828125;278382.8125;133466.296875;0;0;0;0;0;0;0;0
P00359;35746.67;36051492;38971408;43359216;48664664;25766268;38268948;51191660;15625396;1930886.625;766462.8125;929512.6875;905542.625;943453.1875;861690.9375;670567.4375;684394.8125
P00360;35749.93;380517.375;529155.8125;639991.3125;833957.6875;360868.46875;589083.5;865233.875;246100.890625;67500.3046875;39595.76171875;45145.57421875;57903.78515625;1268432.875;1072654;913865.875;818194.4375
P00427;17341.61;28211.189453125;34284.47265625;32774.05859375;31249.55078125;37517.5859375;26769.037109375;25760.69921875;36390.41796875;359906.8125;190056.796875;169801.5;231113.9375;296068.3125;323038;365871.15625;351971.03125
P00431;40352.96;18750.048828125;19645.951171875;22044.46484375;20323.5390625;65892.671875;52127.23046875;49673.34375;66860.859375;284793.5;162203.796875;189492.109375;197686.59375;30726.98046875;30999.951171875;22871.841796875;14531.3720703125
P00445;15854.6;4331990.5;4533379;4161265;4376851.5;31367228;30558968;29790006;32891326;53502224;105020776;118659296;103667984;17700466;30187088;40044016;41134736
P00447;25774.21;60229.6484375;55356.07421875;56329.51171875;80027.859375;61183.44140625;64098.140625;59776.578125;89113.21875;0;0;0;0;0;0;0;0
P00498;32266.41;19739.783203125;38738.7265625;41861.078125;56441.26171875;0;0;0;0;0;0;0;0;0;0;0;0
P00546;34061.49;12325.24609375;13176.1650390625;18433.015625;21300.376953125;18975.505859375;15165.994140625;14825.0966796875;21733.98828125;60346.76171875;41788.38671875;47654.29296875;60385.9609375;224253.984375;176618.4375;135192.453125;112497.6484375
P00549;54544.62;3849955.25;4732110;5487798.5;7901127;1706552.125;2486225.25;3701343.25;1154584.75;1029831.9375;576379.3125;546400.6875;579599;1799935.25;1494507.75;1274469.625;1107358.125
P00560;44738.42;9937112;14215266;13970138;14882830;27674872;41715328;39172880;14791249;126352280;51941424;63227856;71613600;8051956.5;10487043;7795176;12795033
P00572;24687.37;30345.33203125;33010.8515625;30869.5546875;32111.486328125;38160.2265625;40062.453125;30774.419921875;15554.0927734375;156168.921875;98781.21875;163068.6875;211459.4375;3604.40625;6191.39990234375;8006.05029296875;16940.408203125
P00635;52858.55;120858.1171875;99108.640625;120412.6484375;96158.328125;54439.6640625;44601.640625;65057.51171875;73511.203125;0;0;0;0;0;0;0;0
P00729;59802.12;164235.265625;165420.953125;212405.15625;198228.609375;514509.28125;446380.75;522416.5;461575.15625;68707.1953125;44126.0078125;54968.1796875;48459.3671875;0;0;0;0
P00812;35661.93;57663.3125;72109.9453125;72532.953125;92349.53125;64424.1640625;93043.78125;88051.4296875;48171.6953125;32788.6484375;1917.79809570313;22966.55859375;33502.97265625;0;0;0;0
P00815;87721.24;157971.125;227872.40625;281299.75;357323.84375;126092.3828125;200456.71875;276410.1875;72144.546875;104967.1875;21384.689453125;30988.521484375;65746.59375;19953.025390625;19150.55859375;10203.36328125;15065.05078125
P00817;32299.58;2151924.75;2255074;2120840;2175671;6991863.5;6689938;6455531;7024815.5;9519955;5766344;8073060.5;7920543;119791.9140625;187525.234375;213001.203125;242791.171875
P00830;54793.78;159547.734375;192316.109375;199480.9375;217751.5;223270.0625;316657.125;294332.90625;162320.0625;602496;260444.578125;269629.625;281407.875;410671.40625;314298.6875;317671.90625;286520.25
P00890;53360.08;6777.40771484375;34177.42578125;16559.1640625;15616.25390625;35233.28515625;60387.63671875;67620.421875;19755.546875;0;0;0;0;0;0;0;0
P00899;56767.56;22445.4140625;39096.73046875;60672.56640625;60084.44921875;33194.234375;57397.1328125;71927.671875;24768.595703125;56684.90625;15405.2353515625;23809.83203125;26520.34375;87520.7890625;101268.75;119796.8671875;81350.078125
P00912;24144.49;63737.5546875;61049.078125;55446.55078125;52801.84765625;133875.515625;113036.9609375;102391.265625;100510.7109375;702585.25;473957;548631.3125;558321.5;129600.0703125;215413.5;274535.59375;226419.453125
P00924;46816.13;35752872;37534592;34727724;37365736;48963240;59550548;58987464;36825648;19885566;13483788;20992096;19058666;92664.6640625;78899.1328125;73157.15625;68674.1875
P00925;46914.17;20483626;20999390;19505698;18581826;26656906;28172858;29435938;24456726;12983386;9781016;16066721;14277933;1591472.5;1626170.625;1662027.75;1503430.625
P00931;76626.05;228187.078125;247040.703125;306236.375;299347.4375;286265;346169.34375;374915.40625;282530.3125;107010.0859375;79900.2734375;78001.484375;80816.5078125;157420.40625;105330.6015625;107467.0390625;89182.9765625
P00937;53489.37;42267.19921875;58446.625;50032.2734375;58400.7265625;58490.5;72725.1953125;81178.6484375;38354.79296875;81723.7265625;39630;41679.375;46675.30859375;56525.23046875;44632.05859375;32512.5859375;28892.646484375
P00942;26795.46;7537638;8715422;7784726;8737977;23057692;23150568;21812906;19055110;52938760;35046612;46907772;48542808;3960030.75;6836771;9721376;9612128
P00950;27608.56;34047928;32583680;29474492;26682140;33288204;33468164;36940892;25239000;3820279.5;4171424.75;5284444;5458633.5;929837.1875;862523.6875;866991.1875;716192.1875
P00958;85678.09;55726.51953125;59572.15625;67825.921875;69715.1796875;46890.203125;63833.61328125;62667.12109375;45300.03515625;91867.671875;71013.234375;73390.0625;69678.96875;572884.0625;476228.96875;386440.375;367663.125
P01094;7707.45;78233.640625;70425.9375;81092.2421875;63678.09375;252665.109375;219361.671875;230445.34375;289779.9375;139862.9375;160026.515625;227684.265625;172274.203125;118729.484375;101168.9921875;83690.4609375;96548.7109375
P01097;9870.16;18237.998046875;21472.412109375;20577.25390625;26323.392578125;30193.439453125;31081.455078125;26812.626953125;50495.58203125;48297.53125;101081.1328125;109437.5390625;81743.0625;426078.6875;395425.25;305517.75;328033
