"Gene > Standard Name","Gene > Systematic Name","Gene > Name","Gene > Homologues > Homologue > Standard Name","Gene > Homologues > Homologue > Name","Gene > Homologues > Homologue . Organism . Short Name","Gene > Homologues > Homolog Gene Identifier","Gene > Homologues > Homologue > Cross References > Identifier","Gene > Homologues > Homologue > Diseases > Identifier","Gene > Homologues > Homologue > Diseases > Name","Gene > Homologues > Data Sets > Data Source > Name","Gene > Homologues > Algorithms","Gene > Homologues > Algorithms Match","Gene > Homologues > Algorithms Attempted"
"AAC1","YMR056C","ADP/ATP Carrier","SLC25A31","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31","H. sapiens","83447","610796","","","DiOPT","OrthoInspector|OMA|Hieranoid|SonicParanoid|PANTHER|InParanoid","6","9"
"AAC1","YMR056C","ADP/ATP Carrier","SLC25A4","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4","H. sapiens","291","103220","615418","MITOCHONDRIAL DNA DEPLETION SYNDROME 12 (CARDIOMYOPATHIC TYPE); MTDPS12","DiOPT","OrthoInspector|OMA|SonicParanoid|Hieranoid|PANTHER|Ensembl Compara|InParanoid","7","9"
"AAC1","YMR056C","ADP/ATP Carrier","SLC25A4","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4","H. sapiens","291","103220","609283","PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT 2; PEOA2","DiOPT","OrthoInspector|OMA|SonicParanoid|Hieranoid|PANTHER|Ensembl Compara|InParanoid","7","9"
"AAC1","YMR056C","ADP/ATP Carrier","SLC25A5","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5","H. sapiens","292","300150","","","DiOPT","OrthoInspector|OMA|Hieranoid|SonicParanoid|PANTHER|Ensembl Compara|InParanoid","7","9"
"AAC1","YMR056C","ADP/ATP Carrier","SLC25A6","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6","H. sapiens","293","300151","","","DiOPT","OrthoInspector|OMA|Hieranoid|SonicParanoid|PANTHER|InParanoid","6","9"
"AAC1","YMR056C","ADP/ATP Carrier","SLC25A6","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6","H. sapiens","293","403000","","","DiOPT","OrthoInspector|OMA|Hieranoid|SonicParanoid|PANTHER|InParanoid","6","9"
"AAC3","YBR085W","ADP/ATP Carrier","SLC25A31","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31","H. sapiens","83447","610796","","","DiOPT","OrthoInspector|OMA|SonicParanoid|Hieranoid|PANTHER|InParanoid","6","9"
"AAC3","YBR085W","ADP/ATP Carrier","SLC25A4","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4","H. sapiens","291","103220","615418","MITOCHONDRIAL DNA DEPLETION SYNDROME 12 (CARDIOMYOPATHIC TYPE); MTDPS12","DiOPT","OrthoInspector|OMA|SonicParanoid|Hieranoid|PANTHER|Ensembl Compara|InParanoid","7","9"
"AAC3","YBR085W","ADP/ATP Carrier","SLC25A4","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4","H. sapiens","291","103220","609283","PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT 2; PEOA2","DiOPT","OrthoInspector|OMA|SonicParanoid|Hieranoid|PANTHER|Ensembl Compara|InParanoid","7","9"
"AAC3","YBR085W","ADP/ATP Carrier","SLC25A5","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5","H. sapiens","292","300150","","","DiOPT","OrthoInspector|OMA|SonicParanoid|Hieranoid|PANTHER|Ensembl Compara|InParanoid","7","9"
"AAC3","YBR085W","ADP/ATP Carrier","SLC25A6","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6","H. sapiens","293","300151","","","DiOPT","OrthoInspector|OMA|SonicParanoid|Hieranoid|PANTHER|InParanoid","6","9"
"AAC3","YBR085W","ADP/ATP Carrier","SLC25A6","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6","H. sapiens","293","403000","","","DiOPT","OrthoInspector|OMA|SonicParanoid|Hieranoid|PANTHER|InParanoid","6","9"
"AAD14","YNL331C","Aryl-Alcohol Dehydrogenase","AKR7A2","aldo-keto reductase family 7, member A2","H. sapiens","8574","603418","","","DiOPT","Ensembl Compara|OrthoInspector|InParanoid","3","9"
"AAD14","YNL331C","Aryl-Alcohol Dehydrogenase","AKR7A3","aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)","H. sapiens","22977","608477","","","DiOPT","Ensembl Compara|OrthoInspector|InParanoid","3","9"
