bait	baitGene	prey	preyGene	Quant (SPC or Intensities)	User Controls (SPC or Intensities)	CRAP Controls (SPC)	Avg. SPC	FCA	FCB	SP	iRef	intAct	iRef-Evidence	intAct-Evidence
P32494	NGG1	P34232	MTR2	1|0|0|0	0|2|1|0	-	0.25	0.716781983832	0.599764971316	0.0	0	0	na	na
P32494	NGG1	Q06108	RGC1	18|17|15|35	0|0|0|0	-	21.25	21.8389021234	20.7672710678	1.0	0	0	na	na
P32494	NGG1	P37302	APE3	5|5|4|6	16|19|15|20	-	5.0	0.320708275632	0.309006187745	0.0	0	0	na	na
P32494	NGG1	Q06103	RPN7	32|24|31|32	27|28|23|21	-	29.75	1.17447468303	1.11540447859	0.0	0	0	na	na
P32494	NGG1	Q06106	MRD1	5|4|6|4	0|0|0|0	-	4.75	5.67579750581	5.62225320669	1.0	0	0	na	na
P32494	NGG1	P48563	MON2	5|0|1|4	14|27|18|19	-	2.5	0.16742000803	0.124160911609	0.0	0	0	na	na
P32494	NGG1	P39976	DLD3	1|2|1|2	24|23|21|18	-	1.5	0.110305679067	0.102523503239	0.0	0	0	na	na
P32494	NGG1	P48564	MRX6	2|1|3|2	0|0|0|0	-	2.0	2.95999339407	2.87984123457	0.74	0	0	na	na
P32494	NGG1	P10659	SAM1	38|32|40|30	63|62|60|64	-	35.0	0.559946955226	0.543697304813	0.0	0	0	na	na
P32494	NGG1	Q05636	RRP45	7|6|6|5	3|1|1|0	-	6.0	3.05115450396	2.55881905076	0.84	0	0	na	na
P32494	NGG1	Q03195	RLI1	11|11|9|10	10|11|7|11	-	10.25	1.03661035216	0.962045141067	0.0	0	0	na	na
P32494	NGG1	P38199	HEK2	1|1|0|0	1|3|0|0	-	0.5	0.765316412147	0.620612775511	0.0	0	0	na	na
P32494	NGG1	P25374	NFS1	0|0|0|1	8|11|11|10	-	0.25	0.11280872301	0.102070414336	0.0	0	0	na	na
P32494	NGG1	P38759	VPS29	0|0|1|0	4|5|1|2	-	0.25	0.315305313395	0.258693035004	0.0	0	0	na	na
P32494	NGG1	P38754	RPL14B	6|1|5|4	1|0|0|0	-	4.0	3.8945719436	3.32296361575	0.82	0	0	na	na
P32494	NGG1	P38174	MAP2	3|2|1|2	10|14|10|8	-	2.0	0.258768762944	0.234880164335	0.0	0	0	na	na
P32494	NGG1	Q00539	NAM8	0|0|0|1	0|0|0|0	-	0.25	1.24100717399	1.18382350095	0.0	0	0	na	na
P32494	NGG1	Q07963	UBR2	0|0|1|0	0|0|0|0	-	0.25	1.24696835478	1.18740037472	0.0	0	0	na	na
P32494	NGG1	P16550	APA1	1|1|1|2	15|16|18|18	-	1.25	0.125115165294	0.119131256777	0.0	0	0	na	na
P32494	NGG1	P50094	IMD4	2|0|1|3	0|1|2|0	-	1.5	1.39296263007	1.08385818015	0.33	0	0	na	na
P32494	NGG1	P21672	RNR3	0|1|0|0	5|4|2|4	-	0.25	0.265478935972	0.225876611802	0.0	0	0	na	na
P32494	NGG1	P40422	RPC10	6|4|5|5	2|2|3|5	-	5.0	1.47194757208	1.33763549623	0.08	0	0	na	na
P32494	NGG1	P48415	SEC16	17|22|15|39	6|9|6|14	-	23.25	2.45726891892	2.11851480836	0.36	0	0	na	na
P32494	NGG1	P02381	VAR1	1|1|0|1	1|1|1|0	-	0.75	0.992207306409	0.834747961685	0.0	0	0	na	na
P32494	NGG1	P40557	EPS1	2|0|0|3	13|12|11|20	-	1.25	0.146670760707	0.115082199241	0.0	0	0	na	na
P32494	NGG1	P38344	REI1	18|20|23|23	1|1|0|1	-	21.0	12.4729271367	10.86881214	1.0	0	0	na	na
P32494	NGG1	P40498	UTP25	1|1|0|0	0|0|0|0	-	0.5	1.49762823314	1.41241089466	0.0	0	0	na	na
P32494	NGG1	P40553	DOT5	2|0|1|1	0|2|0|0	-	1.0	1.34084835568	1.13208090585	0.36	1	1	 || pubmed:17314980 ||  ||  ||  ||  ||  ||  ||  || 	 || pubmed:17314980 ||  ||  ||  ||  ||  ||  ||  || 
P32494	NGG1	P18494	GLN3	7|9|9|12	2|2|2|3	-	9.25	3.109098961	2.94660015513	0.78	0	0	na	na
P32494	NGG1	Q03532	HAS1	20|22|18|25	1|2|1|2	-	21.25	8.82942676125	8.26055772809	1.0	0	0	na	na
P32494	NGG1	P00942	TPI1	8|5|6|7	9|13|13|14	-	6.5	0.556747272994	0.513408251323	0.0	0	0	na	na
P32494	NGG1	P47029	ALY2	1|1|0|0	0|0|0|0	-	0.5	1.49762823314	1.41241089466	0.0	0	0	na	na
P32494	NGG1	P03965	CPA2	4|4|2|2	37|39|35|28	-	3.0	0.110905760603	0.10078817472	0.0	0	0	na	na
P32494	NGG1	Q08746	RRS1	8|9|7|9	2|2|1|2	-	8.25	3.33302238571	3.05870843293	0.74	0	0	na	na
P32494	NGG1	Q08745	RPS10A	22|21|16|28	22|19|15|21	-	21.75	1.10540545035	1.02819906946	0.0	0	0	na	na
P32494	NGG1	P39717	GPB2	2|1|1|0	0|1|0|0	-	1.0	1.6085422097	1.41289750397	0.41	0	0	na	na
P32494	NGG1	P39715	ECM1	16|16|16|13	1|2|2|4	-	15.25	4.94319576422	4.37210948046	0.99	0	0	na	na
P32494	NGG1	P53011	SEH1	8|10|9|11	9|9|10|11	-	9.5	0.962263972089	0.916842628571	0.0	0	0	na	na
P32494	NGG1	Q05123	ARP9	10|8|11|9	4|6|4|2	-	9.5	2.07946878295	1.82771793419	0.31	0	0	na	na
P32494	NGG1	Q08162	DIS3	20|18|30|16	0|0|0|0	-	21.0	21.701365121	21.1122536036	1.0	0	0	na	na
P32494	NGG1	P32263	PRO3	10|7|5|7	22|24|18|20	-	7.25	0.36994579242	0.351238415068	0.0	0	0	na	na
P32494	NGG1	P32914	SPT4	4|9|6|11	4|8|3|6	-	7.5	1.36200359944	1.16003997342	0.02	0	0	na	na
P32494	NGG1	P15992	HSP26	17|15|12|12	52|52|55|51	-	14.0	0.275932498146	0.266377455376	0.0	0	0	na	na
P32494	NGG1	P32264	PRO1	1|0|0|0	9|4|7|5	-	0.25	0.169172214271	0.144423650454	0.0	0	0	na	na
P32494	NGG1	P00830	ATP2	4|2|3|3	29|27|29|32	-	3.0	0.129819675666	0.122607439098	0.0	0	0	na	na
P32494	NGG1	P32466	HXT3	1|1|0|0	1|1|1|1	-	0.5	0.748127790879	0.697650614641	0.0	0	0	na	na
P32494	NGG1	Q04437	YKU80	1|0|0|0	6|2|3|5	-	0.25	0.245882547927	0.20517507282	0.0	0	0	na	na
P32494	NGG1	P00546	CDC28	1|0|1|1	13|13|13|10	-	0.75	0.130123747679	0.118431547268	0.0	1	1	 || pubmed:22042866 ||  ||  ||  ||  ||  ||  ||  || 	 || pubmed:22042866 ||  ||  ||  ||  ||  ||  ||  || 
P32494	NGG1	P00549	CDC19	50|42|55|52	85|90|81|78	-	49.75	0.590716462863	0.575972840647	0.0	0	0	na	na
P32494	NGG1	P32861	UGP1	5|4|6|6	16|18|12|17	-	5.25	0.368806562952	0.344710390474	0.0	0	0	na	na
P32494	NGG1	P32864	MRS6	0|1|0|0	4|6|4|2	-	0.25	0.252894239505	0.211907890372	0.0	0	0	na	na
P32494	NGG1	P32867	SSO1	1|0|1|0	0|4|2|1	-	0.5	0.548916392133	0.428582345551	0.0	0	0	na	na
P32494	NGG1	Q08562	ULS1	1|1|0|2	0|0|0|0	-	1.0	1.97964258113	1.8475914979	0.1	0	0	na	na
P32494	NGG1	Q01590	SED5	1|0|0|0	0|1|0|0	-	0.25	1.00486807492	0.902098528691	0.0	0	0	na	na
P32494	NGG1	P43321	SMD3	2|2|3|3	1|1|2|1	-	2.5	1.52781782167	1.4432637999	0.21	0	0	na	na
P32494	NGG1	P49166	RPL37A	13|13|14|12	9|8|5|9	-	13.0	1.58220780287	1.44203833859	0.0	0	0	na	na
P32494	NGG1	P49167	RPL38	22|11|10|14	4|4|3|4	-	14.25	3.15099462682	2.91290040645	0.56	0	0	na	na
P32494	NGG1	P32608	RTG2	2|5|4|2	1|3|2|1	-	3.25	1.55242302128	1.35032744476	0.21	1	1	 || pubmed:12446794 ||  ||  ||  ||  ||  ||  ||  || 	 || pubmed:12446794 ||  ||  ||  ||  ||  ||  ||  || 
P32494	NGG1	P08539	GPA1	0|0|1|0	1|0|1|1	-	0.25	0.705141894151	0.586508221071	0.0	0	0	na	na
P32494	NGG1	Q04500	UTP14	64|65|73|70	3|1|1|1	-	68.0	27.040676894	25.066293462	1.0	0	0	na	na
P32494	NGG1	Q04053	SNX41	1|0|1|2	2|1|3|2	-	1.0	0.649105064833	0.54058013781	0.0	0	0	na	na
P32494	NGG1	P32600	TOR2	2|1|1|1	0|0|0|0	-	1.25	2.22504951052	2.1932330344	0.04	0	0	na	na
P32494	NGG1	P32602	SEC17	2|0|0|0	3|6|2|4	-	0.5	0.315122132487	0.250106315467	0.0	0	0	na	na
P32494	NGG1	P08536	MET3	0|0|1|0	2|2|2|2	-	0.25	0.415148313832	0.389432976109	0.0	0	0	na	na
P32494	NGG1	P46669	RPA43	8|5|3|4	0|0|2|2	-	5.0	2.92111214496	2.39412732702	0.75	0	0	na	na
P32494	NGG1	P32599	SAC6	2|1|2|2	8|11|6|12	-	1.75	0.266280912918	0.240353610627	0.0	0	0	na	na
P32494	NGG1	P32598	GLC7	14|9|13|14	14|16|13|16	-	12.5	0.843045880875	0.816207273328	0.0	0	0	na	na
P32494	NGG1	Q06406	LSM6	1|2|2|3	2|2|1|3	-	2.0	0.993932790903	0.873698285974	0.02	1	1	 || pubmed:17314980 ||  ||  ||  ||  ||  ||  ||  || 	 || pubmed:17314980 ||  ||  ||  ||  ||  ||  ||  || 
P32494	NGG1	P32591	SWI3	14|15|16|22	10|9|7|7	-	16.75	1.88970853598	1.78457746293	0.12	0	0	na	na
P32494	NGG1	P32590	SSE2	2|1|3|3	12|13|6|17	-	2.25	0.2475755346	0.208827902614	0.0	0	0	na	na
P32494	NGG1	P00729	PRC1	0|0|0|1	8|9|9|9	-	0.25	0.127152866198	0.119056113363	0.0	0	0	na	na
P32494	NGG1	P32597	STH1	35|37|31|33	6|4|3|6	-	34.0	5.99986510879	5.46992551885	1.0	0	0	na	na
P32494	NGG1	P24000	RPL24B	9|7|8|7	3|3|3|3	-	7.75	2.15330840776	2.11028469092	0.39	0	0	na	na
P32494	NGG1	Q05900	YHC1	4|2|4|5	0|0|0|0	-	3.75	4.66705725257	4.54520645126	0.95	0	0	na	na
P32494	NGG1	P53836	CAF120	2|0|1|2	0|0|0|0	-	1.25	2.20787419997	2.0296576814	0.29	0	0	na	na
P32494	NGG1	Q05905	HRI1	1|0|1|0	2|3|1|2	-	0.5	0.499666499319	0.427780393791	0.0	0	0	na	na
P32494	NGG1	P48363	PAC10	1|0|0|0	2|1|1|2	-	0.25	0.494210686383	0.438214820963	0.0	0	0	na	na
P32494	NGG1	P48362	HGH1	4|1|3|1	10|13|13|11	-	2.25	0.250713433468	0.2231178547	0.0	0	0	na	na
P32494	NGG1	Q05580	HEL2	7|7|2|3	0|1|1|0	-	4.75	3.81106146614	3.13402623202	0.81	0	0	na	na
P32494	NGG1	Q99260	YPT6	0|0|2|0	6|8|5|5	-	0.5	0.214459705754	0.180138186866	0.0	1	1	 || pubmed:18931302|pubmed:17314980 ||  ||  ||  ||  ||  ||  ||  || 	 || pubmed:18931302|pubmed:17314980 ||  ||  ||  ||  ||  ||  ||  || 
P32494	NGG1	P15424	MSS116	6|4|3|3	1|1|1|1	-	4.0	2.4644046854	2.37447260997	0.73	0	0	na	na
P32494	NGG1	P53633	YIP3	4|1|3|2	3|5|3|2	-	2.5	0.814353090544	0.705443544653	0.0	0	0	na	na
P32494	NGG1	P53632	PAP2	4|6|3|4	1|0|0|1	-	4.25	3.46047979327	3.03685970664	0.9	0	0	na	na
P32494	NGG1	P32288	GLN1	5|4|6|2	10|13|13|15	-	4.25	0.377639368666	0.339715309614	0.0	0	0	na	na
P32494	NGG1	Q12309	CLF1	1|2|2|1	0|0|0|0	-	1.5	2.49075460123	2.4336101015	0.58	0	0	na	na
P32494	NGG1	Q00816	REG1	20|18|25|8	1|2|0|1	-	17.75	9.39618659901	7.50562660691	0.98	0	0	na	na
P32494	NGG1	Q02875	SYH1	9|5|5|6	2|1|3|1	-	6.25	2.56085304923	2.2802534517	0.67	0	0	na	na
P32494	NGG1	P10869	HOM3	1|1|0|2	13|10|8|5	-	1.0	0.1976543008	0.162679043598	0.0	0	0	na	na
P32494	NGG1	Q05471	SWR1	4|2|5|6	0|0|0|0	-	4.25	5.15503278134	4.94248536428	0.92	1	1	 || pubmed:17314980 ||  ||  ||  ||  ||  ||  ||  || 	 || pubmed:17314980 ||  ||  ||  ||  ||  ||  ||  || 
P32494	NGG1	Q05672	RBS1	5|6|5|7	22|24|26|24	-	5.75	0.266137480841	0.258438144653	0.0	0	0	na	na
P32494	NGG1	P32908	SMC1	50|41|58|57	4|9|2|8	-	51.5	7.76449541729	6.54715392122	1.0	0	0	na	na
