Protein	Gene	Cluster	Complex	Detected_WT	Detected_M	Abundance_Change_WT	Abundance_Change_M	LiP_Change_WT	LiP_Change_M	FiLiP_Change_WT	FiLiP_Change_M	high_confidence_FiLiP_WT	high_confidence_FiLiP_M	Gcn5_target	SAGA_transcript
P32605	MUD1	40	U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 8;LSM1-7-PAT1 complex|2| 8;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P33203	PRP40	40	U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 8;LSM1-7-PAT1 complex|2| 8;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P39682	PRP39	40	U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 8;LSM1-7-PAT1 complex|2| 8;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P40018	SMB1	40	U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 8;LSM1-7-PAT1 complex|2| 8;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P40204	SMX2	40	U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 8;LSM1-7-PAT1 complex|2| 8;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P43321	SMD3	40	U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 8;LSM1-7-PAT1 complex|2| 8;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P53207	SNU71	40	U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 8;LSM1-7-PAT1 complex|2| 8;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P54999	SMX3	40	U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 8;LSM1-7-PAT1 complex|2| 8;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q00539	NAM8	40	U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 8;LSM1-7-PAT1 complex|2| 8;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q00916	SNP1	40	U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 8;LSM1-7-PAT1 complex|2| 8;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q02260	SMD1	40	U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 8;LSM1-7-PAT1 complex|2| 8;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
Q03776	PRP42	40	U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 8;LSM1-7-PAT1 complex|2| 8;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q03782	SNU56	40	U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 8;LSM1-7-PAT1 complex|2| 8;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q05900	YHC1	40	U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 8;LSM1-7-PAT1 complex|2| 8;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
Q06217	SMD2	40	U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 8;LSM1-7-PAT1 complex|2| 8;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
