Protein	Gene	Cluster	Complex	Detected	Abundance_Change	LiP_Change	FiLiP_Change	high_confidence_FiLiP	Gcn5_target	SAGA_transcript
P40018	SMB1	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
P40204	SMX2	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
P43321	SMD3	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P54999	SMX3	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q02260	SMD1	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
Q06217	SMD2	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q12330	SME1	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P38203	LSM2	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P40070	LSM4	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P40089	LSM5	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
