bait	baitGene	prey	preyGene	Quant (SPC or Intensities)	User Controls (SPC or Intensities)	CRAP Controls (SPC)	Avg. SPC	FCA	FCB	SP	iRef	intAct	iRef-Evidence	intAct-Evidence
P32494	NGG1	Q06108	RGC1	28|30|24|29	0|2|2|1	-	27.75	12.8928923013	10.8498494566	1.0	0	0	na	na
P32494	NGG1	P37302	APE3	4|8|8|5	18|23|24|25	-	6.25	0.314436993163	0.282151622	0.0	0	0	na	na
P32494	NGG1	Q06103	RPN7	30|25|29|26	21|20|25|13	-	27.5	1.38762416309	1.26070757777	0.0	0	0	na	na
P32494	NGG1	Q06106	MRD1	6|1|2|1	0|0|0|0	-	2.5	3.4007724766	3.01746255937	0.6	0	0	na	na
P32494	NGG1	P30619	SEC1	3|0|0|1	1|1|1|1	-	1.0	0.962434291692	0.820941067173	0.12	0	0	na	na
P32494	NGG1	P48563	MON2	2|1|0|1	21|14|18|18	-	1.0	0.104262002956	0.0913570069175	0.0	0	0	na	na
P32494	NGG1	P40557	EPS1	1|1|2|0	16|18|17|23	-	1.0	0.10349159494	0.0914650018642	0.0	0	0	na	na
P32494	NGG1	P39976	DLD3	1|3|3|1	19|22|24|23	-	2.0	0.133227049533	0.118916044745	0.0	0	0	na	na
P32494	NGG1	P48564	MRX6	3|1|1|1	0|0|0|0	-	1.5	2.4554193212	2.36910777968	0.57	0	0	na	na
P32494	NGG1	P10659	SAM1	36|36|34|19	62|61|54|50	-	31.25	0.56138249805	0.531223731805	0.0	0	0	na	na
P32494	NGG1	P40559	INP51	0|0|0|1	0|1|1|0	-	0.25	0.841984108079	0.721234688754	0.0	0	0	na	na
P32494	NGG1	Q03195	RLI1	11|6|13|4	7|6|8|10	-	8.5	1.08873108244	0.93376084124	0.0	0	0	na	na
P32494	NGG1	P25378	RHB1	0|0|1|0	1|2|2|0	-	0.25	0.571544759257	0.456139976875	0.0	0	0	na	na
P32494	NGG1	P25374	NFS1	1|0|1|0	14|14|12|13	-	0.5	0.104953947999	0.0953246936986	0.0	0	0	na	na
P32494	NGG1	P25376	AGP1	0|0|0|1	2|3|1|0	-	0.25	0.505232142248	0.400455687842	0.0	0	0	na	na
